ICAO,Airport Name,City,State,Country,Airport Link
OEAB,Abha Regional,Abha, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEAB
OEBQ,Abqaiq,Abqaiq, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEBQ
OEAA,Abu Ali,Abu Ali, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEAA
OEBA,Al Baha/King Saud Bin Abdulaziz ,Al Baha, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEBA
OEDM,Al Dawadmi/King Salman Bin Abdulaziz,Al Dawadmi, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEDM
OEHW,Al Hawtah,Al Hawtah, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEHW
OEPS,Al Kharj/Prince Sultan AB,Al Kharj, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEPS
OEAO,Alula International,Al Ula, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEAO
OESK,Al Jouf,Al-Jouf, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OESK
OERR,Arar,Arar, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OERR
OETN,As Saffaniyah/Ras Tanajib,As Saffaniyah, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OETN
OEDF,Dammam/King Fahd International,Dammam, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEDF
OEDR,Dharan/King Abdulaziz AB,Dhahran, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEDR
OEGS,Gassim/Prince Naif bin Abdulaziz,Gassim, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEGS
OEGN,Jazan/King Abdullah Bin Abdulaziz,Gizan, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEGN
OEGT,Guriat (Gurayat),Guriat, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEGT
OEPA,Hafr Al Batin/Al Qaisumah International,Hafr Al Batin, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEPA
OEKK,Hafr Al-Batin/King Khaled Military City Airport,Hafr Al-Batin, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEKK
OEHL,Hail Regional,Hail, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEHL
OERS,Hanak/Red Sea International,Hanak, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OERS
OEHR,Harad,Harat, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEHR
OEAH,Hofuf/Al Ahsa,Hofuf, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEAH
OEJN,Jeddah/King Abdul Aziz Intl,Jeddah, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEJN
OEJF,Jeddah/King Faisal Naval Base,Jeddah, ,SAUDI ARABIA,https://acukwik.com/Airport-Info/OEJF
