ICAO,Airport Name,City,State,Country,Airport Link
LZIB,Bratislava/M R Stefanika,Bratislava, ,SLOVAKIA,https://acukwik.com/Airport-Info/LZIB
LZKZ,Kosice,Kosice, ,SLOVAKIA,https://acukwik.com/Airport-Info/LZKZ
LZLU,Lucenec,Lucenec, ,SLOVAKIA,https://acukwik.com/Airport-Info/LZLU
LZMC,Malacky AB,Malacky , ,SLOVAKIA,https://acukwik.com/Airport-Info/LZMC
LZNI,Nitra,Nitra, ,SLOVAKIA,https://acukwik.com/Airport-Info/LZNI
LZPP,Piestany,Piestany, ,SLOVAKIA,https://acukwik.com/Airport-Info/LZPP
LZTT,Poprad-Tatry,Poprad, ,SLOVAKIA,https://acukwik.com/Airport-Info/LZTT
LZSK,Svidnik,Svidnik, ,SLOVAKIA,https://acukwik.com/Airport-Info/LZSK
LZTN,Trencin,Trencin, ,SLOVAKIA,https://acukwik.com/Airport-Info/LZTN
LZZI,Zilina,Zilina, ,SLOVAKIA,https://acukwik.com/Airport-Info/LZZI
