ICAO,Airport Name,City,State,Country,Airport Link
FAAG,Aggeneys,Aggeneys,NC ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FAAG
FAAB,Alexander Bay,Alexander Bay,NC ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FAAB
FAAL,Alldays,Alldays,LP ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FAAL
FABA,Bapsfontein,Bapsfontein,GT ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FABA
FABW,Beaufort West /Karoo Gateway,Beaufort West,WC ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FABW
FABM,Bethlehem,Bethlehem,FS ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FABM
FABE,Bhisho-Bulembu,Bisho,EC ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FABE
FABL,Bloemfontein/Bram Fischer International,Bloemfontein,FS ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FABL
FATP,New Tempe,Bloemfontein,FS ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FATP
FABO,Bothaville / Hendrik Potgieter,Bothaville,FS ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FABO
FABB,Brakpan - Benoni,Brakpan,GT ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FABB
FAOB,Bredasdorp/Overberg AFB,Bredasdorp,WC ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FAOB
FACV,Calvinia,Calvinia,NC ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FACV
FACT,Cape Town International,Cape Town,WC ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FACT
FADW,Cape Town Waterfront,Cape Town,WC ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FADW
FAWN,Cape Town/Cape Winelands,Cape Town, ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FAWN
FAYP,Cape Town/Ysterplaat AB,Cape Town,WC ,SOUTH AFRICA,https://acukwik.com/Airport-Info/FAYP
