ICAO,Airport Name,City,State,Country,Airport Link
RCKU,Chiayi (Jiayi),Chiayi, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCKU
RCAY,Gangshan/Kangshan,Gangshan, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCAY
RCKW,Hengchun,Hengchun, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCKW
RCPO,Xinzhu or Hsinchu,Hsinchu, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCPO
RCYU,Hualien,Hualien, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCYU
RCKH,Kaohsiung International,Kaohsiung, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCKH
RCLM,Dongsha/Pratas Island,Kaohsiung City, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCLM
RCBS,Kinmen,Kinmen, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCBS
RCLY,Lanyu,Lanyu, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCLY
RCGI,Ludao,Ludao, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCGI
RCQC,Magong/Penghu,Magong, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCQC
RCMT,Matsu/Beigan,Matsu, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCMT
RCFG,Matsu Tao Isl/Nangan,Matsu Island, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCFG
RCDC,Pingtung South,Pingtung South, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCDC
RCCM,Qimei,Qimei, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCCM
RCMQ,Taichung/Qingquangang,Taichung, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCMQ
RCQS,Taidong or Chihhong/Zhihang,Taidong, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCQS
RCNN,Tainan,Tainan, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCNN
RCSS,Taipei/Songshan ,Taipei, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCSS
RCTP,Taipei/Taoyuan International ,Taipei, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCTP
RCFN,Taitung/Fengnian,Taitung, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCFN
RCLG,Taizhong/Shueinan,Taizhong, ,TAIWAN (PROVINCE OF CHINA),https://acukwik.com/Airport-Info/RCLG
