ICAO,Airport Name,City,State,Country,Airport Link
HTAR,Arusha,Arusha, ,TANZANIA,https://acukwik.com/Airport-Info/HTAR
HTBU,Bukoba,Bukoba, ,TANZANIA,https://acukwik.com/Airport-Info/HTBU
HTPE,Pemba/Wawi,Chake-Chake, ,TANZANIA,https://acukwik.com/Airport-Info/HTPE
HTDA,Dar Es Salaam/Julius Nyerere Intl,Dar Es Salaam, ,TANZANIA,https://acukwik.com/Airport-Info/HTDA
HTDO,Dodoma,Dodoma, ,TANZANIA,https://acukwik.com/Airport-Info/HTDO
HTIR,Iringa,Iringa, ,TANZANIA,https://acukwik.com/Airport-Info/HTIR
HTKA,Kigoma,Kigoma, ,TANZANIA,https://acukwik.com/Airport-Info/HTKA
HTKJ,Kilimanjaro International,Kilimanjaro, ,TANZANIA,https://acukwik.com/Airport-Info/HTKJ
HTLM,Lake Manyara,Lake Manyara, ,TANZANIA,https://acukwik.com/Airport-Info/HTLM
HTLI,Lindi/Kikwetu,Lindi, ,TANZANIA,https://acukwik.com/Airport-Info/HTLI
HTMA,Mafia,Mafia, ,TANZANIA,https://acukwik.com/Airport-Info/HTMA
HTGW,Songwe/Mbeya,Mbeya, ,TANZANIA,https://acukwik.com/Airport-Info/HTGW
HTMS,Moshi,Moshi, ,TANZANIA,https://acukwik.com/Airport-Info/HTMS
HTMP,Mpanda,Mpanda, ,TANZANIA,https://acukwik.com/Airport-Info/HTMP
HTMT,Mtwara,Mtwara, ,TANZANIA,https://acukwik.com/Airport-Info/HTMT
HTMU,Musoma,Musoma, ,TANZANIA,https://acukwik.com/Airport-Info/HTMU
HTMW,Mwanza,Mwanza, ,TANZANIA,https://acukwik.com/Airport-Info/HTMW
HTSO,Songea,Songea, ,TANZANIA,https://acukwik.com/Airport-Info/HTSO
HTSU,Sumbawanga,Sumbawanga, ,TANZANIA,https://acukwik.com/Airport-Info/HTSU
HTTB,Tabora,Tabora, ,TANZANIA,https://acukwik.com/Airport-Info/HTTB
HTTG,Tanga,Tanga, ,TANZANIA,https://acukwik.com/Airport-Info/HTTG
HTZA,Zanzibar Abeid Amani Karume International,Zanzibar, ,TANZANIA,https://acukwik.com/Airport-Info/HTZA
