ICAO,Airport Name,City,State,Country,Airport Link
DTTJ,Djerba-Zarzis,Djerba, ,TUNISIA,https://acukwik.com/Airport-Info/DTTJ
DTTR,El Borma,El Borma, ,TUNISIA,https://acukwik.com/Airport-Info/DTTR
DTNH,Enfidha-Hammamet international,Enfidha, ,TUNISIA,https://acukwik.com/Airport-Info/DTNH
DTTG,Gabes Matmata Intl,Gabes, ,TUNISIA,https://acukwik.com/Airport-Info/DTTG
DTTF,Gafsa Ksar/Gafsa Palace Intl,Gafsa, ,TUNISIA,https://acukwik.com/Airport-Info/DTTF
DTMB,Monastir Habib Bourguiba International,Monastir, ,TUNISIA,https://acukwik.com/Airport-Info/DTMB
DTTD,Remada AB,Remada, ,TUNISIA,https://acukwik.com/Airport-Info/DTTD
DTTX,Sfax Intl/Thyna,Sfax, ,TUNISIA,https://acukwik.com/Airport-Info/DTTX
DTKA,Tabarka/Aïn Draham,Tabarka, ,TUNISIA,https://acukwik.com/Airport-Info/DTKA
DTTZ,Tozeur/Nefta,Tozeur, ,TUNISIA,https://acukwik.com/Airport-Info/DTTZ
DTTI,Tunis/Bordj El Amri,Tunis, ,TUNISIA,https://acukwik.com/Airport-Info/DTTI
DTTA,Tunis/Carthage International,Tunis, ,TUNISIA,https://acukwik.com/Airport-Info/DTTA
