ICAO,Airport Name,City,State,Country,Airport Link
UKDB,Berdiansk,Berdiansk, ,UKRAINE,https://acukwik.com/Airport-Info/UKDB
UKBC,Bila Tserkva AB,Bila Tserkva, ,UKRAINE,https://acukwik.com/Airport-Info/UKBC
UKKE,Cherkasy International,Cherkasy, ,UKRAINE,https://acukwik.com/Airport-Info/UKKE
UKLN,Chernivtsi International,Chernivtsi, ,UKRAINE,https://acukwik.com/Airport-Info/UKLN
UKDD,Dnipropetrovsk International,Dnipro, ,UKRAINE,https://acukwik.com/Airport-Info/UKDD
UKCC,Donetsk International,Donetsk, ,UKRAINE,https://acukwik.com/Airport-Info/UKCC
UKFY,Dzhankoy,Dzhankoy, ,UKRAINE,https://acukwik.com/Airport-Info/UKFY
UKKM,Kyiv/Antonov-2 International (Gostomel),Gostomel, ,UKRAINE,https://acukwik.com/Airport-Info/UKKM
UKLI,Ivano-Frankivsk International,Ivano-Frankivsk, ,UKRAINE,https://acukwik.com/Airport-Info/UKLI
UKOI,Izmail,Izmail, ,UKRAINE,https://acukwik.com/Airport-Info/UKOI
UKFK,Kerch,Kerch, ,UKRAINE,https://acukwik.com/Airport-Info/UKFK
UKHD,Kharkiv Sokolnyky National,Kharkiv, ,UKRAINE,https://acukwik.com/Airport-Info/UKHD
UKHH,Kharkiv/Osnova International,Kharkiv, ,UKRAINE,https://acukwik.com/Airport-Info/UKHH
UKOH,Kherson International,Kherson, ,UKRAINE,https://acukwik.com/Airport-Info/UKOH
UKLH,Khmelnitsky,Khmelnitsky, ,UKRAINE,https://acukwik.com/Airport-Info/UKLH
UKKG,Kropyvnytskyi/Kirovograd,Kropyvnytskyi, ,UKRAINE,https://acukwik.com/Airport-Info/UKKG
UKDR,Kryvyi Rih/Lozuvatka International,Kryvyi Rih, ,UKRAINE,https://acukwik.com/Airport-Info/UKDR
UKKT,Kyiv/Antonov-1 National,Kyiv, ,UKRAINE,https://acukwik.com/Airport-Info/UKKT
UKBB,Kyiv/Boryspil International,Kyiv, ,UKRAINE,https://acukwik.com/Airport-Info/UKBB
UKIH,Kyiv/Challenge Heliport,Kyiv, ,UKRAINE,https://acukwik.com/Airport-Info/UKIH
UKKK,Kyiv/Zhuliany International (Sikorsky),Kyiv, ,UKRAINE,https://acukwik.com/Airport-Info/UKKK
UKCW,Luhansk ,Luhansk, ,UKRAINE,https://acukwik.com/Airport-Info/UKCW
UKLL,Lviv International (Danylo Halytskyi),Lviv, ,UKRAINE,https://acukwik.com/Airport-Info/UKLL
UKOM,Odessa Lymans'ke,Lymans'ke, ,UKRAINE,https://acukwik.com/Airport-Info/UKOM
UKCM,Mariupol International,Mariupol, ,UKRAINE,https://acukwik.com/Airport-Info/UKCM
UKON,Mykolaiv International,Mykolaiv, ,UKRAINE,https://acukwik.com/Airport-Info/UKON
UKOO,Odessa International,Odessa, ,UKRAINE,https://acukwik.com/Airport-Info/UKOO
UKKO,Ozerne International,Ozerne, ,UKRAINE,https://acukwik.com/Airport-Info/UKKO
UKHP,Poltava/Suprunivka National,Poltava, ,UKRAINE,https://acukwik.com/Airport-Info/UKHP
UKLR,Rivne International,Rivne, ,UKRAINE,https://acukwik.com/Airport-Info/UKLR
URFB,Sevastopol/Belbek AB,Sevastopol, ,UKRAINE,https://acukwik.com/Airport-Info/URFB
UKCS,Severodonetsk,Severodonetsk, ,UKRAINE,https://acukwik.com/Airport-Info/UKCS
URFF,Simferopol,Simferopol, ,UKRAINE,https://acukwik.com/Airport-Info/URFF
UKFW,Simferopol Zavodske,Simferopol, ,UKRAINE,https://acukwik.com/Airport-Info/UKFW
UKHS,Sumy National,Sumy, ,UKRAINE,https://acukwik.com/Airport-Info/UKHS
UKLT,Ternopil National,Ternopil, ,UKRAINE,https://acukwik.com/Airport-Info/UKLT
UKLU,Uzhhorod International,Uzhhorod, ,UKRAINE,https://acukwik.com/Airport-Info/UKLU
UKWW,Gavryshivka/Vinnytsia International,Vinnytsia, ,UKRAINE,https://acukwik.com/Airport-Info/UKWW
UKDE,Zaporizhzhia International (Mokraya),Zaporizhzhia, ,UKRAINE,https://acukwik.com/Airport-Info/UKDE
UKKV,Zhytomyr/S P Korolyov National (Smokivka),Zhytomyr, ,UKRAINE,https://acukwik.com/Airport-Info/UKKV
