ICAO,Airport Name,City,State,Country,Airport Link
EGPD,Aberdeen International (Dyce),Aberdeen, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGPD
EGFA,West Wales/Aberporth,Aberporth, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGFA
EGCG,Strubby North,Alford, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGCG
,Chilbolton,Andover, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/ACMQMPR
EGHO,Thruxton,Andover, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGHO
EGOQ,Anglesey/RAF Mona,Anglesey, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGOQ
EGMD,Lydd/London Ashford,Ashford, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGMD
EGDC,RMB Chivenor,Barnstable, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGDC
EGNL,Barrow-in-Furness/Walney Is,Barrow, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGNL
EGHL,Lasham,Basingstoke, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGHL
EGSM,Beccles,Beccles, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGSM
EGBF,Bedford,Bedford, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGBF
EGTC,Cranfield,Bedford, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGTC
EGAA,Belfast International (Aldergrove),Belfast, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGAA
EGAC,George Best Belfast City,Belfast, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGAC
EGHJ,Bembridge (Isle of Wight),Bembridge, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGHJ
EGPL,Benbecula,Benbecula, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGPL
EGTH,Old Warden (Shuttleworth),Biggleswade, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGTH
EGBB,Birmingham International,Birmingham, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGBB
EGNH,Blackpool,Blackpool, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGNH
EGLA,Bodmin,Bodmin, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGLA
EGHH,Bournemouth,Bournemouth, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGHH
EGBT,Turweston Aerodrome,Brackley, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGBT
EGSL,Braintree/Andrewsfield,Braintree, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGSL
EGGD,Bristol,Bristol, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGGD
EGBV,Silverstone Heliport,Buckingham, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGBV
EGBM,Burton-on-Trent/Tatenhill,Burton-on-Trent, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGBM
EGCK,Caernarfon,Caernarfon, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGCK
EGSC,Cambridge,Cambridge, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGSC
EGSU,Duxford,Cambridge, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGSU
EGMA,Fowlmere,Cambridge, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGMA
EGEC,Campbeltown,Campbeltown, ,UNITED KINGDOM,https://acukwik.com/Airport-Info/EGEC
