ICAO,Airport Name,City,State,Country,Airport Link
UTFA,Andizhan,Andizhan, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTFA
UTSB,Bukhara International,Bukhara, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTSB
UTFF,Fergana International,Fergana, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTFF
UTSK,Karshi South,Karshi, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTSK
UTSL,Karshi Khanabad AB,Karshi Khanabad, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTSL
UTFN,Namangan,Namangan, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTFN
UTSA,Navoi International,Navoi, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTSA
UTNN,Nukus International,Nukus, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTNN
UTSS,Samarkand,Samarkand, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTSS
UTTT,Tashkent Islam Karimov International,Tashkent, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTTT
UTST,Termez,Termez, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTST
UTNU,Urgench International,Urgench, ,UZBEKISTAN,https://acukwik.com/Airport-Info/UTNU
