ICAO,Airport Name,City,State,Country,Airport Link
VVCS,Ba Ria - Vung Tau/Con Dao (Con Son),Ba Ria - Vung Tau, ,VIETNAM,https://acukwik.com/Airport-Info/VVCS
VVCM,Ca Mau,Ca Mau, ,VIETNAM,https://acukwik.com/Airport-Info/VVCM
VVCT,Can Tho International,Can Tho, ,VIETNAM,https://acukwik.com/Airport-Info/VVCT
VVDN,Da Nang International,Da Nang, ,VIETNAM,https://acukwik.com/Airport-Info/VVDN
VVBM,Dac Lac/Buon Ma Thuot,Dac Lac, ,VIETNAM,https://acukwik.com/Airport-Info/VVBM
VVDB,Dien Bien Phu,Dien Bien, ,VIETNAM,https://acukwik.com/Airport-Info/VVDB
VVDH,Quang Binh/Dong Hoi,Dong Hoi, ,VIETNAM,https://acukwik.com/Airport-Info/VVDH
VVVD,Van Don International,Ha Long, ,VIETNAM,https://acukwik.com/Airport-Info/VVVD
VVCI,Hai Phong/Cat Bi,Hai Phong, ,VIETNAM,https://acukwik.com/Airport-Info/VVCI
VVGL,Hanoi/Gia Lam,Hanoi, ,VIETNAM,https://acukwik.com/Airport-Info/VVGL
VVNB,Hanoi/Noi Bai International,Hanoi, ,VIETNAM,https://acukwik.com/Airport-Info/VVNB
VVTS,Ho Chi Minh/Tan Son Nhat Intl,Ho Chi Minh, ,VIETNAM,https://acukwik.com/Airport-Info/VVTS
VVPB,Hue/Phu Bai International,Hue, ,VIETNAM,https://acukwik.com/Airport-Info/VVPB
VVCR,Khanh Hoa-Nha Trang/Cam Ranh International,Khanh Hoa, ,VIETNAM,https://acukwik.com/Airport-Info/VVCR
VVDL,Lam Dong - Da Lat/Lien Khuong,Lam Dong, ,VIETNAM,https://acukwik.com/Airport-Info/VVDL
VVVH,Nghe An/Vinh,Nghe An, ,VIETNAM,https://acukwik.com/Airport-Info/VVVH
VVNT,Nha Trang Air Base,Nha Trang, ,VIETNAM,https://acukwik.com/Airport-Info/VVNT
VVPQ,Kien Giang/Phu Quoc Intl (Duong Dong),Phu Quoc Isl, ,VIETNAM,https://acukwik.com/Airport-Info/VVPQ
VVPK,Gia Lai/Pleiku,Pleiku, ,VIETNAM,https://acukwik.com/Airport-Info/VVPK
VVCA,Quang Nam/Chu Lai International,Quang Nam, ,VIETNAM,https://acukwik.com/Airport-Info/VVCA
VVPC,Binh Dinh/Phu Cat,Quy Nhon, ,VIETNAM,https://acukwik.com/Airport-Info/VVPC
VVRG,Rach Gia,Rach Gia, ,VIETNAM,https://acukwik.com/Airport-Info/VVRG
VVNS,Son La/Na San,Son La, ,VIETNAM,https://acukwik.com/Airport-Info/VVNS
VVTX,Tho Xuan (Thanh Hoa AB),Tho Xuan, ,VIETNAM,https://acukwik.com/Airport-Info/VVTX
VVTH,Phu Yen/Tuy Hoa,Tuy Hoa, ,VIETNAM,https://acukwik.com/Airport-Info/VVTH
VVVT,Ba Ria/Vung Tau,Vung Tau, ,VIETNAM,https://acukwik.com/Airport-Info/VVVT
