ICAO,Airport Name,City,State,Country,Airport Link
FLKE,Chingola Kasompe,Chingola, ,ZAMBIA,https://acukwik.com/Airport-Info/FLKE
FLCP,Chipata,Chipata, ,ZAMBIA,https://acukwik.com/Airport-Info/FLCP
FLKS,Kasama,Kasama, ,ZAMBIA,https://acukwik.com/Airport-Info/FLKS
FLSO,Kitwe Southdowns,Kitwe, ,ZAMBIA,https://acukwik.com/Airport-Info/FLSO
FLBP,Baobab Plains,Livingstone, ,ZAMBIA,https://acukwik.com/Airport-Info/FLBP
FLBB,Baobab Ridge,Livingstone, ,ZAMBIA,https://acukwik.com/Airport-Info/FLBB
FLHN,Harry Mwaanga Nkumbula Intl Livingstone,Livingstone, ,ZAMBIA,https://acukwik.com/Airport-Info/FLHN
FLKK,Kenneth Kaunda International,Lusaka, ,ZAMBIA,https://acukwik.com/Airport-Info/FLKK
FLLC,Lusaka City,Lusaka, ,ZAMBIA,https://acukwik.com/Airport-Info/FLLC
FLRZ,Royal Zambezi,Lusaka, ,ZAMBIA,https://acukwik.com/Airport-Info/FLRZ
FLMA,Mansa,Mansa, ,ZAMBIA,https://acukwik.com/Airport-Info/FLMA
FLBA,Mbala,Mbala, ,ZAMBIA,https://acukwik.com/Airport-Info/FLBA
FLMF,Mfuwe International,Mfuwe, ,ZAMBIA,https://acukwik.com/Airport-Info/FLMF
FLMG,Mongu,Mongu, ,ZAMBIA,https://acukwik.com/Airport-Info/FLMG
FLML,Mufulira,Mufulira, ,ZAMBIA,https://acukwik.com/Airport-Info/FLML
FLSK,Simon Mwansa Kapwepwe International,Ndola, ,ZAMBIA,https://acukwik.com/Airport-Info/FLSK
FLSW,Solwezi,Solwezi, ,ZAMBIA,https://acukwik.com/Airport-Info/FLSW
