country,state,city
BELARUS,,Mogilev
BANGLADESH,,Jessore
BELARUS,,Grodno
AZERBAIJAN,,Lenkoran
BAHAMAS,,Cat Island
BANGLADESH,,Barisal
AZERBAIJAN,,Gyandzha
AZERBAIJAN,,Nakhchivan
BAHAMAS,,Eleuthera Island
BAHAMAS,,Port Nelson
BELARUS,,Viciebsk
BELARUS,,Minsk
BELARUS,,Minsk
BELARUS,,Orsha
BELARUS,,Brest
BAHAMAS,,Exuma Islands
AZERBAIJAN,,Gabala
AZERBAIJAN,,Yevlakh
AZERBAIJAN,,Zagatala
AZERBAIJAN,,Fuzuli
BELARUS,,Gomel
BANGLADESH,,Cox's Bazar
BANGLADESH,,Chittagong
AZERBAIJAN,,Baku
BAHRAIN,,Isa
BANGLADESH,,Bogra
BAHRAIN,,Manama
BANGLADESH,,Moulavi Bazar
BANGLADESH,,Sylhet
BANGLADESH,,Dhaka
BAHRAIN,,Sadad
