ICAO,Airport Name,City,State,Country,Airport Link
OAIX,Bagram,Bagram,PAR ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAIX
OABN,Bamian/Bamyan,Bamian,BAM ,AFGHANISTAN,https://acukwik.com/Airport-Info/OABN
OASH,Barakibarak/Shank AB (Camp Dahlke),Barakibarak,LOW ,AFGHANISTAN,https://acukwik.com/Airport-Info/OASH
OAZI,Gereshk/Bastion,Camp Bastion,HEL ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAZI
OACC,Chakhcharan/Chaghcharan,Chakhcharan,GHO ,AFGHANISTAN,https://acukwik.com/Airport-Info/OACC
OAFZ,"Faizabad (Feyzabad, Fayzabad or Fazelabad)",Faizabad,BDS ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAFZ
OAFR,Farah/Farah,Farah,FRA ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAFR
OAHR,Herat/Khwaja Abdullah Ansari International,Herat,HER ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAHR
OAJL,Jalalabad/Jalalabad,Jalalabad,NAN ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAJL
OAKB,Kabul/Hamid Karzai International Kabul,Kabul,KAB ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAKB
OAKS,Khost,Khost,KHO ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAKS
OAUZ,Kunduz,Konduz,KDZ ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAUZ
OABT,Lashkar Gah/Bost,Lashkar Gah,HEL ,AFGHANISTAN,https://acukwik.com/Airport-Info/OABT
OADY,Lashkar Gah/Dwyer,Lashkar Gah,HEL ,AFGHANISTAN,https://acukwik.com/Airport-Info/OADY
OAMN,"Maimana (Maimana, Meymaneh or Maimanah)",Maimana,FYB ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAMN
OAMS,Mazar-E-Sharif/Mawlana Jalaluddin Muhammad Balkhi,Mazar-E-Sharif,BAL ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAMS
OAQN,Qala I Naw (Qalanou or Qal‘ah-ye Now),Qala I Naw,BDG ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAQN
OAKN,Qandahar/Kandahar International,Qandahar,KAN ,AFGHANISTAN,https://acukwik.com/Airport-Info/OAKN
OASG,Sheberghan,Sheberghan,JOW ,AFGHANISTAN,https://acukwik.com/Airport-Info/OASG
OASD,Shindand,Shindand,HER ,AFGHANISTAN,https://acukwik.com/Airport-Info/OASD
OATN,Tarin Kowt/Tereen AB,Tarin Kowt,ORU ,AFGHANISTAN,https://acukwik.com/Airport-Info/OATN
OASA,Zahar Sharan/Sharana,Zahar Sharan,PKA ,AFGHANISTAN,https://acukwik.com/Airport-Info/OASA
