ICAO,Airport Name,City,State,Country,Airport Link
DAUA,Adrar/Touat-Cheikh Sidi Mohamed Belkebir (PVT),Adrar,1 ,ALGERIA,https://acukwik.com/Airport-Info/DAUA
DAAQ,Ain Oussera AB,Ain Oussera,17 ,ALGERIA,https://acukwik.com/Airport-Info/DAAQ
DAAG,Houari Boumediene,Algiers,16 ,ALGERIA,https://acukwik.com/Airport-Info/DAAG
DABB,Annaba/Rabah Bitat,Annaba,23 ,ALGERIA,https://acukwik.com/Airport-Info/DABB
DABT,Batna/Madracen (Mostepha ben Boulaid),Batna,5 ,ALGERIA,https://acukwik.com/Airport-Info/DABT
DAOR,Bechar/Boudghene Ben Ali Lotfi/Ouakda AB,Bechar,8 ,ALGERIA,https://acukwik.com/Airport-Info/DAOR
DAAE,Bejaia/Soummam-Abane Ramdane,Bejaia,6 ,ALGERIA,https://acukwik.com/Airport-Info/DAAE
DAUB,Mohamed Khider/Biskra,Biskra,7 ,ALGERIA,https://acukwik.com/Airport-Info/DAUB
DAAB,Blida/El Boulaida AB,Blida,9 ,ALGERIA,https://acukwik.com/Airport-Info/DAAB
DATM,Bordj Badji Mokhtar,Bordj Mokhtar,1 ,ALGERIA,https://acukwik.com/Airport-Info/DATM
DAAD,Bou Saada,Bou Saada,28 ,ALGERIA,https://acukwik.com/Airport-Info/DAAD
DAOE,Bou Sfer AB,Bou Sfer,31 ,ALGERIA,https://acukwik.com/Airport-Info/DAOE
DAAK,Blida/Boufarik AFB,Boufarik,9 ,ALGERIA,https://acukwik.com/Airport-Info/DAAK
DAOI,Chlef,Chlef,2 ,ALGERIA,https://acukwik.com/Airport-Info/DAOI
DABC,Constantine/Mohamed Boudiaf Intl,Constantine,25 ,ALGERIA,https://acukwik.com/Airport-Info/DABC
DAAJ,Djanet/Tiska,Djanet,33 ,ALGERIA,https://acukwik.com/Airport-Info/DAAJ
DAOY,El Bayadh,El Bayadh,32 ,ALGERIA,https://acukwik.com/Airport-Info/DAOY
DAUE,El Golea/El Menia,El Menia,47 ,ALGERIA,https://acukwik.com/Airport-Info/DAUE
DAUO,El Oued/Guemar,El Oued,24 ,ALGERIA,https://acukwik.com/Airport-Info/DAUO
DAUG,Ghardaia/Noumerat-Moufdi Zakaria,Ghardaia,47 ,ALGERIA,https://acukwik.com/Airport-Info/DAUG
DAOV,Mascara-Ghriss,Ghriss,29 ,ALGERIA,https://acukwik.com/Airport-Info/DAOV
DAUH,Hassi Messaoud/Oued Irara-Krim Belkacem,Hassi Messaoud,30 ,ALGERIA,https://acukwik.com/Airport-Info/DAUH
DAFH,Hassi R'Mel-Tilrhemt/Tillempt,Hassi R'Mel,47 ,ALGERIA,https://acukwik.com/Airport-Info/DAFH
DAAP,Illizi/Takhamalt,Illizi,33 ,ALGERIA,https://acukwik.com/Airport-Info/DAAP
DATG,In Guezzam,In Guezzam,11 ,ALGERIA,https://acukwik.com/Airport-Info/DATG
DAUI,In Salah,In Salah,11 ,ALGERIA,https://acukwik.com/Airport-Info/DAUI
DAAV,Jijel/Ferhat Abbas,Jijel,18 ,ALGERIA,https://acukwik.com/Airport-Info/DAAV
DAUL,Laghouat Moulay Ahmed Medeghri ,Laghouat,3 ,ALGERIA,https://acukwik.com/Airport-Info/DAUL
DAAY,Mecheria AB - Cheikh Bouamama,Mecheria,45 ,ALGERIA,https://acukwik.com/Airport-Info/DAAY
DAOO,Oran/Ahmed Benbella (Es Senia),Oran,31 ,ALGERIA,https://acukwik.com/Airport-Info/DAOO
DAOL,Tafaraoui AB,Oran,31 ,ALGERIA,https://acukwik.com/Airport-Info/DAOL
DAUU,Ouargla Ain Beida,Ouargla,30 ,ALGERIA,https://acukwik.com/Airport-Info/DAUU
DAAN,Reggane AB,Reggane,1 ,ALGERIA,https://acukwik.com/Airport-Info/DAAN
DAAZ,Relizane,Relizane,48 ,ALGERIA,https://acukwik.com/Airport-Info/DAAZ
DAAS,Setif/8 Mai 45,Setif,19 ,ALGERIA,https://acukwik.com/Airport-Info/DAAS
DAOS,Sidi Bel Abbes AB,Sidi Bel Abbes,22 ,ALGERIA,https://acukwik.com/Airport-Info/DAOS
DAAT,Tamanrasset/Aguenar,Tamanrasset,11 ,ALGERIA,https://acukwik.com/Airport-Info/DAAT
DABS,Tebessa/Cheikkh Larbi Tebessi,Tebessa,12 ,ALGERIA,https://acukwik.com/Airport-Info/DABS
DAAM,Telerghma,Telerghma,43 ,ALGERIA,https://acukwik.com/Airport-Info/DAAM
DAOB,Tiaret/Bou Chekif,Tiaret,14 ,ALGERIA,https://acukwik.com/Airport-Info/DAOB
DAUT,Timimoun,Timimoun,1 ,ALGERIA,https://acukwik.com/Airport-Info/DAUT
DAOF,Tindouf AB,Tindouf,37 ,ALGERIA,https://acukwik.com/Airport-Info/DAOF
DAON,Tlemcen/Zenata-Messali El Hadj,Tlemcen,13 ,ALGERIA,https://acukwik.com/Airport-Info/DAON
DAUK,Touggourt/Sidi Mahdi,Touggourt,30 ,ALGERIA,https://acukwik.com/Airport-Info/DAUK
DAUZ,Zarzaitine/In Amenas,Zarzaitine,33 ,ALGERIA,https://acukwik.com/Airport-Info/DAUZ
