ICAO,Airport Name,City,State,Country,Airport Link
YPAD,Adelaide International,Adelaide,SA ,AUSTRALIA,https://acukwik.com/Airport-Info/YPAD
YPED,Adelaide/Edinburgh AB,Adelaide,SA ,AUSTRALIA,https://acukwik.com/Airport-Info/YPED
YPPF,Adelaide/Parafield,Adelaide,SA ,AUSTRALIA,https://acukwik.com/Airport-Info/YPPF
YSHR,Airlie Beach/Whitsunday (Shute Harbour),Airle Beach,QLD ,AUSTRALIA,https://acukwik.com/Airport-Info/YSHR
YABA,Harry Riggs Albany Regional,Albany,WA ,AUSTRALIA,https://acukwik.com/Airport-Info/YABA
YMAY,Albury,Albury,NSW ,AUSTRALIA,https://acukwik.com/Airport-Info/YMAY
YADG,Aldinga,Aldinga,SA ,AUSTRALIA,https://acukwik.com/Airport-Info/YADG
YBAS,Alice Springs,Alice Springs,NT ,AUSTRALIA,https://acukwik.com/Airport-Info/YBAS
YAPH,Alpha,Alpha,QLD ,AUSTRALIA,https://acukwik.com/Airport-Info/YAPH
YAMC,Aramac,Aramac,QLD ,AUSTRALIA,https://acukwik.com/Airport-Info/YAMC
YARA,Ararat,Ararat,VIC ,AUSTRALIA,https://acukwik.com/Airport-Info/YARA
YARG,Argyle,Argyle,WA ,AUSTRALIA,https://acukwik.com/Airport-Info/YARG
YARM,Armidale,Armidale,NSW ,AUSTRALIA,https://acukwik.com/Airport-Info/YARM
YAUG,Augusta,Augusta,WA ,AUSTRALIA,https://acukwik.com/Airport-Info/YAUG
YAUR,Aurukun,Aurukun,QLD ,AUSTRALIA,https://acukwik.com/Airport-Info/YAUR
YAYR,Ayr,Ayr,QLD ,AUSTRALIA,https://acukwik.com/Airport-Info/YAYR
YBNS,Bairnsdale,Bairnsdale,VIC ,AUSTRALIA,https://acukwik.com/Airport-Info/YBNS
YBGO,Balgo Hill,Balgo,WA ,AUSTRALIA,https://acukwik.com/Airport-Info/YBGO
