ICAO,Airport Name,City,State,Country,Airport Link
VGBR,Barisal (Barishal),Barisal, ,BANGLADESH,https://acukwik.com/Airport-Info/VGBR
VGBG,Bogra AB,Bogra, ,BANGLADESH,https://acukwik.com/Airport-Info/VGBG
VGEG,Chittagong/Shah Amanat Intl (M A Hannan Intl),Chittagong, ,BANGLADESH,https://acukwik.com/Airport-Info/VGEG
VGCB,Cox's Bazar,Cox's Bazar, ,BANGLADESH,https://acukwik.com/Airport-Info/VGCB
VGHS,Dhaka/Hazrat Shahjalal International,Dhaka, ,BANGLADESH,https://acukwik.com/Airport-Info/VGHS
VGIS,Ishurdi,Ishurdi, ,BANGLADESH,https://acukwik.com/Airport-Info/VGIS
VGJR,Jessore (Jashore),Jessore, ,BANGLADESH,https://acukwik.com/Airport-Info/VGJR
VGSH,Moulavi Bazar/Shamshernagar STOL Port,Moulavi Bazar, ,BANGLADESH,https://acukwik.com/Airport-Info/VGSH
VGRJ,Rajshahi/Shah Mokhdum,Rajshahi, ,BANGLADESH,https://acukwik.com/Airport-Info/VGRJ
VGSD,Saidpur,Saidpur, ,BANGLADESH,https://acukwik.com/Airport-Info/VGSD
VGSY,Sylhet/Osmani International,Sylhet, ,BANGLADESH,https://acukwik.com/Airport-Info/VGSY
