ICAO,Airport Name,City,State,Country,Airport Link
SLBJ,Bermejo,Bermejo, ,BOLIVIA,https://acukwik.com/Airport-Info/SLBJ
SLCH,Chimore,Chimore, ,BOLIVIA,https://acukwik.com/Airport-Info/SLCH
SLCO,Cobija/Cap. Anibal Arab Fadul (Heroes del Acre),Cobija, ,BOLIVIA,https://acukwik.com/Airport-Info/SLCO
SLCB,Cochabamba/Jorge Wilsterman Intl,Cochabamba, ,BOLIVIA,https://acukwik.com/Airport-Info/SLCB
SLGM,Guayaramerin/Cap de Av Emilio Beltran,Guayaramerin, ,BOLIVIA,https://acukwik.com/Airport-Info/SLGM
SLLP,La Paz/El Alto International,La Paz, ,BOLIVIA,https://acukwik.com/Airport-Info/SLLP
SLOR,Oruro/Juan Mendoza,Oruro, ,BOLIVIA,https://acukwik.com/Airport-Info/SLOR
SLPO,Potosi/Capt Nicolas Rojas,Potosi, ,BOLIVIA,https://acukwik.com/Airport-Info/SLPO
SLPS,Puerto Suarez/Capt Salvador Ogaya International,Puerto Suarez, ,BOLIVIA,https://acukwik.com/Airport-Info/SLPS
SLRI,Riberalta Cap. Av. Selin Zeitun Lopez,Riberalta, ,BOLIVIA,https://acukwik.com/Airport-Info/SLRI
SLRQ,Rurrenabaque,Rurrenabaque, ,BOLIVIA,https://acukwik.com/Airport-Info/SLRQ
SLJE,San Jose de Chiquitos,San Jose de Chiquitos, ,BOLIVIA,https://acukwik.com/Airport-Info/SLJE
SLSA,Santa Ana Del Yacuma,Santa Ana Del Yacuma, ,BOLIVIA,https://acukwik.com/Airport-Info/SLSA
SLVR,Santa Cruz de la Sierra/Viru Viru International,Santa Cruz, ,BOLIVIA,https://acukwik.com/Airport-Info/SLVR
SLET,Santa Cruz/El Trompillo,Santa Cruz, ,BOLIVIA,https://acukwik.com/Airport-Info/SLET
SLAL,Alcantari International,Sucre, ,BOLIVIA,https://acukwik.com/Airport-Info/SLAL
SLSU,Sucre/Juana Azurduy De Padilla,Sucre, ,BOLIVIA,https://acukwik.com/Airport-Info/SLSU
SLTJ,Tarija/Capt Oriel Lea Plaza,Tarija, ,BOLIVIA,https://acukwik.com/Airport-Info/SLTJ
SLTR,Trinidad/Tte Av Jorge Henrich Arauz,Trinidad, ,BOLIVIA,https://acukwik.com/Airport-Info/SLTR
SLUY,Uyuni/La Joya Andina,Uyuni, ,BOLIVIA,https://acukwik.com/Airport-Info/SLUY
SLVM,Villamontes/TCNL Rafael Pabon,Villamontes, ,BOLIVIA,https://acukwik.com/Airport-Info/SLVM
SLYA,Yacuiba,Yacuiba, ,BOLIVIA,https://acukwik.com/Airport-Info/SLYA
