ICAO,Airport Name,City,State,Country,Airport Link
SCTQ,Alto Del Carmen/Tres Quebradas,Alto Del Carmen, ,CHILE,https://acukwik.com/Airport-Info/SCTQ
SCAC,Ancud/Pupelde,Ancud, ,CHILE,https://acukwik.com/Airport-Info/SCAC
SCGO,Angol/Los Confines,Angol, ,CHILE,https://acukwik.com/Airport-Info/SCGO
SCFA,Antofagasta/Andres Sabella International ,Antofagasta, ,CHILE,https://acukwik.com/Airport-Info/SCFA
SCLE,Antofagasta/La Escondida,Antofagasta, ,CHILE,https://acukwik.com/Airport-Info/SCLE
SCAR,Arica/Chacalluta,Arica, ,CHILE,https://acukwik.com/Airport-Info/SCAR
SCAE,Arica/El Buitre,Arica, ,CHILE,https://acukwik.com/Airport-Info/SCAE
SCBI,Bahia Inutil/Pampa Guanaco,Bahia Inutil, ,CHILE,https://acukwik.com/Airport-Info/SCBI
SCBA,Balmaceda,Balmaceda, ,CHILE,https://acukwik.com/Airport-Info/SCBA
SCCF,Calama/El Loa,Calama, ,CHILE,https://acukwik.com/Airport-Info/SCCF
SCCL,Caldera,Caldera, ,CHILE,https://acukwik.com/Airport-Info/SCCL
SCRS,Cartegena/El Rosario,Cartagena, ,CHILE,https://acukwik.com/Airport-Info/SCRS
SCCA,Cauquenes/El Boldo,Cauquenes, ,CHILE,https://acukwik.com/Airport-Info/SCCA
SCPY,Cerro Castillo,Cerro Castillo, ,CHILE,https://acukwik.com/Airport-Info/SCPY
SCPA,Antofagasta/Paranal,Cerro Paranal, ,CHILE,https://acukwik.com/Airport-Info/SCPA
SCSB,Cerro Sombrero/Franco Bianco,Cerro Sombrero, ,CHILE,https://acukwik.com/Airport-Info/SCSB
SCTN,Chaiten/Nuevo Chaiten,Chaiten, ,CHILE,https://acukwik.com/Airport-Info/SCTN
SCDH,Chaiten/Vodudahue,Chaiten, ,CHILE,https://acukwik.com/Airport-Info/SCDH
SCRA,Chanaral,Chanaral, ,CHILE,https://acukwik.com/Airport-Info/SCRA
SCCC,Chile Chico,Chile Chico, ,CHILE,https://acukwik.com/Airport-Info/SCCC
SCCH,Chillan/Gen Bernard O'Higgins,Chillan, ,CHILE,https://acukwik.com/Airport-Info/SCCH
SCGS,Cholguan/Siberia,Cholguan, ,CHILE,https://acukwik.com/Airport-Info/SCGS
SCCM,Choshuenco/Molco,Choshuenco, ,CHILE,https://acukwik.com/Airport-Info/SCCM
SCHR,Cochrane,Cochrane, ,CHILE,https://acukwik.com/Airport-Info/SCHR
SCPI,Coihueco/Pullami,Coihueco, ,CHILE,https://acukwik.com/Airport-Info/SCPI
SCHC,Colina/Chicureo,Colina, ,CHILE,https://acukwik.com/Airport-Info/SCHC
SCVH,Colina/La Victoria de Chacabuco,Colina, ,CHILE,https://acukwik.com/Airport-Info/SCVH
SCPD,Colina/Peldehue,Colina, ,CHILE,https://acukwik.com/Airport-Info/SCPD
SCCB,Combarbala/Pedro Villarroel C,Combarbala, ,CHILE,https://acukwik.com/Airport-Info/SCCB
SCIE,Concepcion/Carriel Sur International,Concepcion, ,CHILE,https://acukwik.com/Airport-Info/SCIE
SCHA,Copiapo/Chamonate,Copiapo, ,CHILE,https://acukwik.com/Airport-Info/SCHA
SCAT,Copiapo/Desierto de Atacama,Copiapo, ,CHILE,https://acukwik.com/Airport-Info/SCAT
SCCY,Coyhaique/Teniente Vidal,Coyhaique, ,CHILE,https://acukwik.com/Airport-Info/SCCY
SCNK,Cuncumen/Los Pelambres,Cuncumen, ,CHILE,https://acukwik.com/Airport-Info/SCNK
SCAI,Curacautín,Curacautín, ,CHILE,https://acukwik.com/Airport-Info/SCAI
SCCV,Curacavi,Curacavi, ,CHILE,https://acukwik.com/Airport-Info/SCCV
SCIC,Curicó/General Freire,Curicó, ,CHILE,https://acukwik.com/Airport-Info/SCIC
SCPQ,Dalcahue/Mocopulli,Dalcahue, ,CHILE,https://acukwik.com/Airport-Info/SCPQ
SCES,El Salvador/Ricardo Garcia Posada-El Salvador Bajo,El Salvador, ,CHILE,https://acukwik.com/Airport-Info/SCES
SCEC,Estacion Chanaral/Pelicano,Estacion Chanaral, ,CHILE,https://acukwik.com/Airport-Info/SCEC
SCFT,Futaleufu,Futaleufu, ,CHILE,https://acukwik.com/Airport-Info/SCFT
SCIL,Illapel/Auco,Illapel, ,CHILE,https://acukwik.com/Airport-Info/SCIL
SCDA,Iquique/Diego Aracena Intl,Iquique, ,CHILE,https://acukwik.com/Airport-Info/SCDA
