ICAO,Airport Name,City,State,Country,Airport Link
SKAD,Acandi / Alcides Fernandes,Acandi, ,COLOMBIA,https://acukwik.com/Airport-Info/SKAD
SKAG,Hacaritama,Aguachica, ,COLOMBIA,https://acukwik.com/Airport-Info/SKAG
SKUC,Arauca/Santiago Perez Quiroz,Arauca, ,COLOMBIA,https://acukwik.com/Airport-Info/SKUC
SKAR,Armenia/El Eden,Armenia, ,COLOMBIA,https://acukwik.com/Airport-Info/SKAR
SKBS,Bahia Solano/Jose Celestino Mutis,Bahia Solano, ,COLOMBIA,https://acukwik.com/Airport-Info/SKBS
SKEJ,Barrancabermeja/Yariguies,Barrancabermeja, ,COLOMBIA,https://acukwik.com/Airport-Info/SKEJ
SKBM,Barranco Minas,Barranco Minas, ,COLOMBIA,https://acukwik.com/Airport-Info/SKBM
SKBQ,Barranquilla/Ernesto Cortissoz International,Barranquilla, ,COLOMBIA,https://acukwik.com/Airport-Info/SKBQ
SKBO,Bogota/El Dorado International,Bogota, ,COLOMBIA,https://acukwik.com/Airport-Info/SKBO
SKBG,Bucaramanga/Palonegro (Lebrija),Bucaramanga, ,COLOMBIA,https://acukwik.com/Airport-Info/SKBG
SKBU,Buenaventura/Gerardo Tobar Lopez,Buenaventura, ,COLOMBIA,https://acukwik.com/Airport-Info/SKBU
SKCL,Cali/Alfonso Bonilla Aragon,Cali, ,COLOMBIA,https://acukwik.com/Airport-Info/SKCL
SKLC,Carepa/Antonio Roldan Betancourt,Carepa Apartado, ,COLOMBIA,https://acukwik.com/Airport-Info/SKLC
SKCG,Cartagena/Rafael Nunez International,Cartagena, ,COLOMBIA,https://acukwik.com/Airport-Info/SKCG
SKGO,Cartago/Santa Ana,Cartago, ,COLOMBIA,https://acukwik.com/Airport-Info/SKGO
SKCU,Caucasia/Juan H. White,Caucasia, ,COLOMBIA,https://acukwik.com/Airport-Info/SKCU
SKHA,Chaparral / Gen Navas Pardo,Chaparral, ,COLOMBIA,https://acukwik.com/Airport-Info/SKHA
SKGY,Chia/Guaymaral (Flaminio Suarez Camacho),Chia, ,COLOMBIA,https://acukwik.com/Airport-Info/SKGY
