ICAO,Airport Name,City,State,Country,Airport Link
FCBB,Brazzaville/Maya Maya International,Brazzaville, ,CONGO,https://acukwik.com/Airport-Info/FCBB
FCBD,Djambala,Djambala, ,CONGO,https://acukwik.com/Airport-Info/FCBD
FCPD,Dolisie/Ngot Nzoungou,Dolisie, ,CONGO,https://acukwik.com/Airport-Info/FCPD
FCOE,Ewo,Ewo, ,CONGO,https://acukwik.com/Airport-Info/FCOE
FCOI,Impfondo,Impfondo, ,CONGO,https://acukwik.com/Airport-Info/FCOI
FCOM,Makoua,Makoua, ,CONGO,https://acukwik.com/Airport-Info/FCOM
FCOU,Ouésso,Ouésso, ,CONGO,https://acukwik.com/Airport-Info/FCOU
FCOO,Owando,Owando, ,CONGO,https://acukwik.com/Airport-Info/FCOO
FCOD,Oyo Ollombo/Denis Sassou N'Guesso Intl,Oyo, ,CONGO,https://acukwik.com/Airport-Info/FCOD
FCPP,Pointe Noire/Antonio Agostinho Neto Intl,Pointe Noire, ,CONGO,https://acukwik.com/Airport-Info/FCPP
FCBS,Sibiti,Sibiti, ,CONGO,https://acukwik.com/Airport-Info/FCBS
