ICAO,Airport Name,City,State,Country,Airport Link
FZBO,Bandundu,Bandundu,BN ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZBO
FZNP,Mavivi (Beni),Beni,NK ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZNP
FZMA,Bukavu/Kavumu,Bukavu,SK ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZMA
FZFU,Bumba,Bumba,EQ ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZFU
FZKA,Bunia,Bunia,HC ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZKA
FZKJ,Buta/Zega,Buta,HC ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZKJ
FZFD,Gbadolite,Gbadolite,EQ ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZFD
FZFK,Gemena,Gemena,EQ ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZFK
FZNA,Goma International,Goma,NK ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZNA
FZJH,Isiro-Matari,Isiro,HC ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZJH
FZRF,Kalemie,Kalemie,KT ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZRF
FZSA,Kamina Air Base,Kamina Base,KT ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZSA
FZUA,Kananga,Kananga,KC ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZUA
FZCA,Kikwit,Kikwit,BN ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZCA
FZOA,Kindu,Kindu,MN ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZOA
FZAA,Kinshasa/N'Djili International,Kinshasa,KN ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZAA
FZAB,Kinshasa/Ndolo,Kinshasa,KN ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZAB
FZIC,Kisangani/Bangoka Intl,Kisangani,HC ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZIC
FZIA,Kisangani Simisini,Kisangani Simisini,HC ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZIA
FZAI,Kitona Base,Kitona Base,BC ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZAI
FZQM,Kolwezi ,Kolwezi,KT ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZQM
FZRQ,Kongolo,Kongolo,KT ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZRQ
FZGA,Lisala,Lisala,EQ ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZGA
FZQA,Lubumbashi/Luano Intl,Lubumbashi,KT ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZQA
FZEA,Mbandaka,Mbandaka,EQ ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZEA
FZWA,Mbuji Mayi Bipemba,Mbuji Mayi,KR ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZWA
FZAG,Moanda,Muanda,BC ,DEMOCRATIC REPUBLIC OF CONGO,https://acukwik.com/Airport-Info/FZAG
