ICAO,Airport Name,City,State,Country,Airport Link
HEOC,6th October City,6th October City, ,EGYPT,https://acukwik.com/Airport-Info/HEOC
HEBL,Abu Simbel,Abu Simbel, ,EGYPT,https://acukwik.com/Airport-Info/HEBL
HEBA,Alexandria Borg El Arab International,Alexandria, ,EGYPT,https://acukwik.com/Airport-Info/HEBA
HESN,Aswan International/Aswan AB,Aswan, ,EGYPT,https://acukwik.com/Airport-Info/HESN
HEAT,Asyut International,Asyut, ,EGYPT,https://acukwik.com/Airport-Info/HEAT
HEBS,Beni Suef AB,Beni Suef, ,EGYPT,https://acukwik.com/Airport-Info/HEBS
HEBR,Berenice (Bernice) Intl/Banas Cape AB,Berenice, ,EGYPT,https://acukwik.com/Airport-Info/HEBR
HEAZ,Almaza AB,Cairo, ,EGYPT,https://acukwik.com/Airport-Info/HEAZ
HECA,Cairo International,Cairo, ,EGYPT,https://acukwik.com/Airport-Info/HECA
HECP,Cairo/Capital International,Cairo, ,EGYPT,https://acukwik.com/Airport-Info/HECP
HECW,Cairo West AB,Cairo West, ,EGYPT,https://acukwik.com/Airport-Info/HECW
HEDK,El Dakhla,Dakhla Oasis, ,EGYPT,https://acukwik.com/Airport-Info/HEDK
HEAL,El Alamein International,El Alamein, ,EGYPT,https://acukwik.com/Airport-Info/HEAL
HEAR,El Arish,El Arish, ,EGYPT,https://acukwik.com/Airport-Info/HEAR
HEGR,Ad Duhayr/El Gora,El Gora, ,EGYPT,https://acukwik.com/Airport-Info/HEGR
HEKG,El Kharga/New Valley,El Kharga, ,EGYPT,https://acukwik.com/Airport-Info/HEKG
HETR,El Tor/Sinai City,El Tor, ,EGYPT,https://acukwik.com/Airport-Info/HETR
HESX,Sphinx International,Giza, ,EGYPT,https://acukwik.com/Airport-Info/HESX
HEGO,El Gouna,Hurghada, ,EGYPT,https://acukwik.com/Airport-Info/HEGO
HEGN,Hurghada International,Hurghada, ,EGYPT,https://acukwik.com/Airport-Info/HEGN
HEGS,Jiyanklis New AB,Jiyanklis, ,EGYPT,https://acukwik.com/Airport-Info/HEGS
HELX,Luxor International,Luxor, ,EGYPT,https://acukwik.com/Airport-Info/HELX
HEMA,Marsa Alam International,Marsa Alam, ,EGYPT,https://acukwik.com/Airport-Info/HEMA
HEMM,Marsa Matrooh International/Mersa Matruh,Mersa Matruh, ,EGYPT,https://acukwik.com/Airport-Info/HEMM
HEMN,El Minya,Minya, ,EGYPT,https://acukwik.com/Airport-Info/HEMN
HEPS,Port Said,Port Said, ,EGYPT,https://acukwik.com/Airport-Info/HEPS
,Abu Rudeis,Ras Abu Rudeis, ,EGYPT,https://acukwik.com/Airport-Info/ACMQRQS
HESW,Siwa Oasis North,Sallum, ,EGYPT,https://acukwik.com/Airport-Info/HESW
HEOW,Shark El Oweinat,Shark El Oweinat, ,EGYPT,https://acukwik.com/Airport-Info/HEOW
HESH,Sharm El Sheikh International,Sharm El Sheikh, ,EGYPT,https://acukwik.com/Airport-Info/HESH
HESC,St Catherine,St Catherine, ,EGYPT,https://acukwik.com/Airport-Info/HESC
HESG,Sohag/Suhag International,Suhag, ,EGYPT,https://acukwik.com/Airport-Info/HESG
HETB,Taba International,Taba, ,EGYPT,https://acukwik.com/Airport-Info/HETB
