ICAO,Airport Name,City,State,Country,Airport Link
FOGA,Akieni,Akieni, ,GABON,https://acukwik.com/Airport-Info/FOGA
FOOB,Bitam,Bitam, ,GABON,https://acukwik.com/Airport-Info/FOOB
FOON,Franceville/M'Vengue,Franceville, ,GABON,https://acukwik.com/Airport-Info/FOON
,Gamba/Yenzi Camp,Gamba, ,GABON,https://acukwik.com/Airport-Info/ACMQTMS
FOGK,Koulamoutou/Mabimbi,Koulamoutou, ,GABON,https://acukwik.com/Airport-Info/FOGK
FOOL,Libreville/Leon M'Ba,Libreville, ,GABON,https://acukwik.com/Airport-Info/FOOL
FOOK,Makokou,Makokou, ,GABON,https://acukwik.com/Airport-Info/FOOK
FOOD,Moanda,Moanda, ,GABON,https://acukwik.com/Airport-Info/FOOD
FOGM,Mouila Ville,Mouila, ,GABON,https://acukwik.com/Airport-Info/FOGM
FOGQ,Okondja,Okondja, ,GABON,https://acukwik.com/Airport-Info/FOGQ
FOOH,Omboue/Hopital,Omboue, ,GABON,https://acukwik.com/Airport-Info/FOOH
FOGO,Oyem,Oyem, ,GABON,https://acukwik.com/Airport-Info/FOGO
FOOG,Port Gentil,Port Gentil, ,GABON,https://acukwik.com/Airport-Info/FOOG
