ICAO,Airport Name,City,State,Country,Airport Link
EDKA,Wurselen-Aachen/Merzbrück,Aachen, ,GERMANY,https://acukwik.com/Airport-Info/EDKA
EDPA,Aalen Elchingen,Aalen, ,GERMANY,https://acukwik.com/Airport-Info/EDPA
EDFQ,Allendorf Eder,Allendorf/Eder, ,GERMANY,https://acukwik.com/Airport-Info/EDFQ
EDBT,Allstedt,Allstedt, ,GERMANY,https://acukwik.com/Airport-Info/EDBT
EDAC,Leipzig-Altenburg,Altenburg, ,GERMANY,https://acukwik.com/Airport-Info/EDAC
EDCA,Anklamer Flugplatz Otto Lilienthal,Anklam, ,GERMANY,https://acukwik.com/Airport-Info/EDCA
EDLA,Arnsberg Menden,Arnsberg, ,GERMANY,https://acukwik.com/Airport-Info/EDLA
EDFC,Aschaffenburg,Aschaffenburg, ,GERMANY,https://acukwik.com/Airport-Info/EDFC
EDMA,Augsburg,Augsburg, ,GERMANY,https://acukwik.com/Airport-Info/EDMA
EDSB,Karlsruhe/Baden-Baden,Baden-Baden, ,GERMANY,https://acukwik.com/Airport-Info/EDSB
EDQA,Bamberg-Breitenau,Bamberg, ,GERMANY,https://acukwik.com/Airport-Info/EDQA
EDBH,Stralsund-Barth,Barth, ,GERMANY,https://acukwik.com/Airport-Info/EDBH
EDAB,Bautzen,Bautzen, ,GERMANY,https://acukwik.com/Airport-Info/EDAB
EDQD,Bayreuth,Bayreuth, ,GERMANY,https://acukwik.com/Airport-Info/EDQD
EDDB,Berlin/Brandenburg Intl,Berlin, ,GERMANY,https://acukwik.com/Airport-Info/EDDB
EDAZ,Schoenhagen,Berlin/Potsdam, ,GERMANY,https://acukwik.com/Airport-Info/EDAZ
EDMB,Biberach An Der Riss,Biberach, ,GERMANY,https://acukwik.com/Airport-Info/EDMB
EDLI,Bielefeld,Bielefeld, ,GERMANY,https://acukwik.com/Airport-Info/EDLI
ETAD,Binsfeld/Spangdahlem AB,Binsfeld, ,GERMANY,https://acukwik.com/Airport-Info/ETAD
EDRB,Bitburg-Herzlich,Bitburg, ,GERMANY,https://acukwik.com/Airport-Info/EDRB
EDKB,Bonn/Hangelar,Bonn, ,GERMANY,https://acukwik.com/Airport-Info/EDKB
EDWR,Borkum,Borkum, ,GERMANY,https://acukwik.com/Airport-Info/EDWR
EDVE,Braunschweig-Wolfsburg,Braunschweig, ,GERMANY,https://acukwik.com/Airport-Info/EDVE
EDDW,Bremen,Bremen, ,GERMANY,https://acukwik.com/Airport-Info/EDDW
EDTG,Bremgarten,Bremgarten, ,GERMANY,https://acukwik.com/Airport-Info/EDTG
ETSB,Buchel AB,Buchel, ,GERMANY,https://acukwik.com/Airport-Info/ETSB
ETHB,Buckeburg AB,Buckeburg, ,GERMANY,https://acukwik.com/Airport-Info/ETHB
ETHC,Celle AB,Celle, ,GERMANY,https://acukwik.com/Airport-Info/ETHC
EDBC,Magdeburg-Cochstedt,Cochstedt, ,GERMANY,https://acukwik.com/Airport-Info/EDBC
EDDK,Koeln Bonn (Cologne),Cologne-Bonn, ,GERMANY,https://acukwik.com/Airport-Info/EDDK
EDAP,Cottbus/Neuhausen,Cottbus, ,GERMANY,https://acukwik.com/Airport-Info/EDAP
ETMN,Cuxhaven/Nordholz Sea-Airport,Cuxhaven, ,GERMANY,https://acukwik.com/Airport-Info/ETMN
EDXH,Helgoland/Heligoland,Cuxhaven, ,GERMANY,https://acukwik.com/Airport-Info/EDXH
EDKV,Dahlemer-Binz,Dahlem, ,GERMANY,https://acukwik.com/Airport-Info/EDKV
EDWC,Damme,Damme, ,GERMANY,https://acukwik.com/Airport-Info/EDWC
EDAD,Dessau,Dessau, ,GERMANY,https://acukwik.com/Airport-Info/EDAD
ETND,Diepholz - Dummerland AB,Diepholz, ,GERMANY,https://acukwik.com/Airport-Info/ETND
EDTD,Donaueschingen-Villingen,Donaueschingen, ,GERMANY,https://acukwik.com/Airport-Info/EDTD
EDLW,Dortmund,Dortmund, ,GERMANY,https://acukwik.com/Airport-Info/EDLW
EDDC,Dresden,Dresden, ,GERMANY,https://acukwik.com/Airport-Info/EDDC
EDDL,Dusseldorf,Dusseldorf, ,GERMANY,https://acukwik.com/Airport-Info/EDDL
EDQE,Burg Feuerstein,Ebermannstadt, ,GERMANY,https://acukwik.com/Airport-Info/EDQE
EDAV,Eberswalde/Finow,Eberswalde, ,GERMANY,https://acukwik.com/Airport-Info/EDAV
ETME,Eggebek AB,Eggebek, ,GERMANY,https://acukwik.com/Airport-Info/ETME
EDME,Eggenfelden,Eggenfelden, ,GERMANY,https://acukwik.com/Airport-Info/EDME
EDGE,Eisenach Kindel,Eisenach Kindel, ,GERMANY,https://acukwik.com/Airport-Info/EDGE
EDAE,Eisenhuttenstadt,Eisenhuttenstadt, ,GERMANY,https://acukwik.com/Airport-Info/EDAE
EDWE,Emden,Emden, ,GERMANY,https://acukwik.com/Airport-Info/EDWE
EDDE,Erfurt-Weimar,Erfurt, ,GERMANY,https://acukwik.com/Airport-Info/EDDE
EDLE,Essen/Mulheim,Essen, ,GERMANY,https://acukwik.com/Airport-Info/EDLE
EDUF,Falkenberg Lonnewitz,Falkenberg Lonnewitz, ,GERMANY,https://acukwik.com/Airport-Info/EDUF
EDAS,Finsterwalde / Heinrichsruh,Finsterwalde, ,GERMANY,https://acukwik.com/Airport-Info/EDAS
EDUS,Finsterwalde Schacksdorf,Finsterwalde/Schacksdorf, ,GERMANY,https://acukwik.com/Airport-Info/EDUS
EDXF,Flensburg Schaferhaus,Flensburg, ,GERMANY,https://acukwik.com/Airport-Info/EDXF
EDDF,Frankfurt Main International,Frankfurt, ,GERMANY,https://acukwik.com/Airport-Info/EDDF
EDFH,Frankfurt-Hahn,Frankfurt, ,GERMANY,https://acukwik.com/Airport-Info/EDFH
EDFE,Frankfurt/Egelsbach,Frankfurt, ,GERMANY,https://acukwik.com/Airport-Info/EDFE
EDTF,Freiburg,Freiburg, ,GERMANY,https://acukwik.com/Airport-Info/EDTF
EDNY,Bodensee/Friedrichshafen,Friedrichshafen, ,GERMANY,https://acukwik.com/Airport-Info/EDNY
ETHF,Fritzlar ,Fritzlar, ,GERMANY,https://acukwik.com/Airport-Info/ETHF
ETNG,Geilenkirchen AB,Geilenkirchen, ,GERMANY,https://acukwik.com/Airport-Info/ETNG
EDQG,Giebelstadt,Giebelstadt, ,GERMANY,https://acukwik.com/Airport-Info/EDQG
