ICAO,Airport Name,City,State,Country,Airport Link
LGML,Milos Island National,Adamas, ,GREECE,https://acukwik.com/Airport-Info/LGML
LGAX,Alexandria Army,Alexandria, ,GREECE,https://acukwik.com/Airport-Info/LGAX
LGAL,Alexandroupolis/Dimokritos,Alexandroupolis, ,GREECE,https://acukwik.com/Airport-Info/LGAL
LGPA,Paros,Aliki, ,GREECE,https://acukwik.com/Airport-Info/LGPA
LGAD,Andravida AB,Amalias, ,GREECE,https://acukwik.com/Airport-Info/LGAD
LGPL,Astypalaia,Astypalea Isl, ,GREECE,https://acukwik.com/Airport-Info/LGPL
LGAV,Athens Intl Eleftherios Venizelos,Athens, ,GREECE,https://acukwik.com/Airport-Info/LGAV
LGEL,Elefsis AB,Athens, ,GREECE,https://acukwik.com/Airport-Info/LGEL
LGSA,Chania/Ioannis Daskalogiannis Intl,Chania, ,GREECE,https://acukwik.com/Airport-Info/LGSA
LGHI,Chios/Omiros,Chios, ,GREECE,https://acukwik.com/Airport-Info/LGHI
LGTT,Dekelia-Tatoi AB,Dekelia, ,GREECE,https://acukwik.com/Airport-Info/LGTT
LGIR,Heraklion/Iraklion Nikos Kazantzakis,Heraklion, ,GREECE,https://acukwik.com/Airport-Info/LGIR
LGIK,Ikaria/Ikaros,Ikaria Island, ,GREECE,https://acukwik.com/Airport-Info/LGIK
LGIO,Ioannina King Pyrros,Ioannina, ,GREECE,https://acukwik.com/Airport-Info/LGIO
LGKL,Kalamata/Capt Vassilis Constantakopoulos,Kalamata, ,GREECE,https://acukwik.com/Airport-Info/LGKL
LGKY,Kalimnos,Kalimnos, ,GREECE,https://acukwik.com/Airport-Info/LGKY
LGKP,Karpathos,Karpathos, ,GREECE,https://acukwik.com/Airport-Info/LGKP
LGKS,Kassos Aghia Marina,Kassos Isl, ,GREECE,https://acukwik.com/Airport-Info/LGKS
LGTL,Kasteli AB,Kasteli, ,GREECE,https://acukwik.com/Airport-Info/LGTL
LGKA,Kastoria/Aristotelis,Kastoria, ,GREECE,https://acukwik.com/Airport-Info/LGKA
LGKV,Kavala International/Megas Alexandros,Kavala, ,GREECE,https://acukwik.com/Airport-Info/LGKV
LGKM,Kavala-Amigdhaleon AB,Kavala, ,GREECE,https://acukwik.com/Airport-Info/LGKM
LGKF,Kefallinia/Anna Pollatou,Kefalonia, ,GREECE,https://acukwik.com/Airport-Info/LGKF
LGKR,Kerkira/Ioannis Kapodistrias Corfu,Kerkira, ,GREECE,https://acukwik.com/Airport-Info/LGKR
LGKC,Kithira/Alexandros Aristotelous Onassis,Kithira, ,GREECE,https://acukwik.com/Airport-Info/LGKC
LGKO,Kos/Ippokratis,Kos, ,GREECE,https://acukwik.com/Airport-Info/LGKO
LGKZ,Kozani Filippos,Kozani, ,GREECE,https://acukwik.com/Airport-Info/LGKZ
LGLR,Larissa,Larissa, ,GREECE,https://acukwik.com/Airport-Info/LGLR
LGLE,Leros Domestic Partheni,Leros Isl, ,GREECE,https://acukwik.com/Airport-Info/LGLE
LGLM,Limnos/Lemnos Intl Ifestos,Limnos, ,GREECE,https://acukwik.com/Airport-Info/LGLM
LGMG,Megara AB,Megara, ,GREECE,https://acukwik.com/Airport-Info/LGMG
LGKJ,Kastelorizo Municipal,Megisti, ,GREECE,https://acukwik.com/Airport-Info/LGKJ
LGMK,Mykonos (Mikonos),Mykonos, ,GREECE,https://acukwik.com/Airport-Info/LGMK
LGMT,Mitilini/Mytilene Odysseas Elytis,Mytilene Island, ,GREECE,https://acukwik.com/Airport-Info/LGMT
LGNX,Naxos Island National,Naxos, ,GREECE,https://acukwik.com/Airport-Info/LGNX
LGRX,Patras/Araxos,Patras, ,GREECE,https://acukwik.com/Airport-Info/LGRX
LGPZ,Preveza/Aktion,Preveza, ,GREECE,https://acukwik.com/Airport-Info/LGPZ
LGRD,Rhodes-Maritsa,Rhodes, ,GREECE,https://acukwik.com/Airport-Info/LGRD
LGRP,Rodos/Diagoras International,Rhodes, ,GREECE,https://acukwik.com/Airport-Info/LGRP
LGSM,Samos / Aristarchos of Samos International,Samos, ,GREECE,https://acukwik.com/Airport-Info/LGSM
LGST,Sitia/Vitsentzos Kornaros,Sitia, ,GREECE,https://acukwik.com/Airport-Info/LGST
LGSK,Skiathos/Alexandros Papadiamandis Intl,Skiathos, ,GREECE,https://acukwik.com/Airport-Info/LGSK
LGSY,Skyros,Skiros, ,GREECE,https://acukwik.com/Airport-Info/LGSY
LGSV,Stefanovikion AB,Stefanovikion, ,GREECE,https://acukwik.com/Airport-Info/LGSV
LGSO,Syros/Dimitrios Vikelas National,Syros Island, ,GREECE,https://acukwik.com/Airport-Info/LGSO
LGTG,Tanagra AB,Tanagra, ,GREECE,https://acukwik.com/Airport-Info/LGTG
LGTS,Thessaloniki - Macedonia/Makedonia Intl,Thessaloniki, ,GREECE,https://acukwik.com/Airport-Info/LGTS
LGSD,Thessaloniki/Sedes AB,Thessaloniki, ,GREECE,https://acukwik.com/Airport-Info/LGSD
LGSR,Santorini/Thira,Thira, ,GREECE,https://acukwik.com/Airport-Info/LGSR
LGTP,Tripolis AB,Tripolis, ,GREECE,https://acukwik.com/Airport-Info/LGTP
LGBL,Nea Anchialos Almiros AB,Volos, ,GREECE,https://acukwik.com/Airport-Info/LGBL
LGZA,Zakinthos/Dionysios Solomos,Zakinthos, ,GREECE,https://acukwik.com/Airport-Info/LGZA
