ICAO,Airport Name,City,State,Country,Airport Link
MHAH,Ahuas,Ahuas, ,HONDURAS,https://acukwik.com/Airport-Info/MHAH
MHGE,Catacamas El Aguacate,Catacamas, ,HONDURAS,https://acukwik.com/Airport-Info/MHGE
MHPR,Comayagua/Palmerola International,Comayagua, ,HONDURAS,https://acukwik.com/Airport-Info/MHPR
MHRU,Capan Ruinas,Copan Ruinas, ,HONDURAS,https://acukwik.com/Airport-Info/MHRU
MHGS,Gracias Celaque,Gracias, ,HONDURAS,https://acukwik.com/Airport-Info/MHGS
MHNJ,Guanaja,Guanaja, ,HONDURAS,https://acukwik.com/Airport-Info/MHNJ
MHLC,La Ceiba/Goloson International,La Ceiba, ,HONDURAS,https://acukwik.com/Airport-Info/MHLC
MHCS,Coyoles,Olanchito, ,HONDURAS,https://acukwik.com/Airport-Info/MHCS
MHRO,Roatan/Juan Manuel Galvez International,Roatan Island, ,HONDURAS,https://acukwik.com/Airport-Info/MHRO
,La Lima/Reginaldo Hammer,San Pedro Sula, ,HONDURAS,https://acukwik.com/Airport-Info/ACMRKRK
MHLM,Ramon Villeda Morales International (La Mesa),San Pedro Sula, ,HONDURAS,https://acukwik.com/Airport-Info/MHLM
MHTG,Tegucigalpa/Toncontin,Tegucigalpa, ,HONDURAS,https://acukwik.com/Airport-Info/MHTG
MHTE,Tela,Tela, ,HONDURAS,https://acukwik.com/Airport-Info/MHTE
MHTJ,Trujillo,Trujillo, ,HONDURAS,https://acukwik.com/Airport-Info/MHTJ
MHUT,Utila Island,Utila, ,HONDURAS,https://acukwik.com/Airport-Info/MHUT
