ICAO,Airport Name,City,State,Country,Airport Link
LHBC,Bekescsaba,Bekescsaba, ,HUNGARY,https://acukwik.com/Airport-Info/LHBC
LHBP,Budapest/Ferenc Liszt International,Budapest, ,HUNGARY,https://acukwik.com/Airport-Info/LHBP
LHDC,Debrecen,Debrecen, ,HUNGARY,https://acukwik.com/Airport-Info/LHDC
LHFM,Fertoszentmiklos (Meidl),Fertoszentmiklos, ,HUNGARY,https://acukwik.com/Airport-Info/LHFM
LHPR,Gyor-Per,Gyor, ,HUNGARY,https://acukwik.com/Airport-Info/LHPR
LHSM,Heviz-Balaton,Heviz, ,HUNGARY,https://acukwik.com/Airport-Info/LHSM
LHKA,Kalocsa,Kalocsa, ,HUNGARY,https://acukwik.com/Airport-Info/LHKA
LHKE,Kecskemet AB,Kecskemet, ,HUNGARY,https://acukwik.com/Airport-Info/LHKE
LHNY,Nyiregyhaza,Nyiregyhaza, ,HUNGARY,https://acukwik.com/Airport-Info/LHNY
LHPA,Papa AB,Papa, ,HUNGARY,https://acukwik.com/Airport-Info/LHPA
LHPP,Pecs/Pogany,Pécs, ,HUNGARY,https://acukwik.com/Airport-Info/LHPP
LHSK,Siófok-Kiliti,Siófok, ,HUNGARY,https://acukwik.com/Airport-Info/LHSK
LHUD,Szeged,Szeged, ,HUNGARY,https://acukwik.com/Airport-Info/LHUD
LHSN,Szolnok AB,Szolnok, ,HUNGARY,https://acukwik.com/Airport-Info/LHSN
LHTA,Taszar ,Taszar, ,HUNGARY,https://acukwik.com/Airport-Info/LHTA
LHTL,Tokol ,Tokol, ,HUNGARY,https://acukwik.com/Airport-Info/LHTL
LHSA,Szentkiralyszabadja AB,Veszprem, ,HUNGARY,https://acukwik.com/Airport-Info/LHSA
