ICAO,Airport Name,City,State,Country,Airport Link
BIAR,Akureyri,Akureyri, ,ICELAND,https://acukwik.com/Airport-Info/BIAR
BIBK,Bakkafjörður,Bakkafjörður, ,ICELAND,https://acukwik.com/Airport-Info/BIBK
BIBF,Borgarfjordur Eystri,Bakkagerði, ,ICELAND,https://acukwik.com/Airport-Info/BIBF
BIBD,Bildudalur Isafjordur,Bildudalur, ,ICELAND,https://acukwik.com/Airport-Info/BIBD
BIBL,Blönduós,Blönduós, ,ICELAND,https://acukwik.com/Airport-Info/BIBL
BIBV,Breiðdalsvík,Breiðdalsvík, ,ICELAND,https://acukwik.com/Airport-Info/BIBV
BIDV,Djúpivogur,Djúpivogur, ,ICELAND,https://acukwik.com/Airport-Info/BIDV
BIEG,Egilsstadir,Egilsstadir, ,ICELAND,https://acukwik.com/Airport-Info/BIEG
BIFM,Fagurhólsmýri,Fagurhólsmýri, ,ICELAND,https://acukwik.com/Airport-Info/BIFM
BIGJ,Gjögur,Gjögur, ,ICELAND,https://acukwik.com/Airport-Info/BIGJ
BIGR,Grimsey,Grimsey, ,ICELAND,https://acukwik.com/Airport-Info/BIGR
BIGF,Grundarfjordur,Grundarfjordur, ,ICELAND,https://acukwik.com/Airport-Info/BIGF
BIHN,Hofn Hornafjordur,Hofn, ,ICELAND,https://acukwik.com/Airport-Info/BIHN
BIHK,Hólmavík,Hólmavík, ,ICELAND,https://acukwik.com/Airport-Info/BIHK
BIHU,Husavik,Husavik, ,ICELAND,https://acukwik.com/Airport-Info/BIHU
BIBA,Hvolsvollur/Bakki,Hvolsvollur, ,ICELAND,https://acukwik.com/Airport-Info/BIBA
BIIS,Isafjordur,Isafjordur, ,ICELAND,https://acukwik.com/Airport-Info/BIIS
BIKF,Keflavik International,Keflavik, ,ICELAND,https://acukwik.com/Airport-Info/BIKF
BIKP,Kópaskersflugvöllur,Kópasker, ,ICELAND,https://acukwik.com/Airport-Info/BIKP
BIRL,Reykiahlid/Myvatn,Myvatn, ,ICELAND,https://acukwik.com/Airport-Info/BIRL
BINF,Nordfjordur,Neskaupstadur, ,ICELAND,https://acukwik.com/Airport-Info/BINF
BIRF,Olafsvik/Rif,Olafsvik, ,ICELAND,https://acukwik.com/Airport-Info/BIRF
BIPA,Patreksfjordur,Patreksfjordur, ,ICELAND,https://acukwik.com/Airport-Info/BIPA
BIRG,Raufarhöfn,Raufarhöfn, ,ICELAND,https://acukwik.com/Airport-Info/BIRG
BIRE,Reykhólar,Reykhólar, ,ICELAND,https://acukwik.com/Airport-Info/BIRE
BIRK,Reykjavik,Reykjavik, ,ICELAND,https://acukwik.com/Airport-Info/BIRK
BIKR,Saudarkrokur/Alexander,Saudarkrokur, ,ICELAND,https://acukwik.com/Airport-Info/BIKR
BISI,Siglufjordur,Siglufjordur, ,ICELAND,https://acukwik.com/Airport-Info/BISI
BIST,Stykkisholmur,Stykkisholmur, ,ICELAND,https://acukwik.com/Airport-Info/BIST
BITE,Thingeyri,Thingeyri, ,ICELAND,https://acukwik.com/Airport-Info/BITE
BITN,Thorshofn,Thorshofn, ,ICELAND,https://acukwik.com/Airport-Info/BITN
BIVM,Vestmannaeyjar,Vestmannaeyjar, ,ICELAND,https://acukwik.com/Airport-Info/BIVM
BIVO,Vopnafjordur,Vopnafjordur, ,ICELAND,https://acukwik.com/Airport-Info/BIVO
