ICAO,Airport Name,City,State,Country,Airport Link
OIAA,Abadan International,Abadan, ,IRAN,https://acukwik.com/Airport-Info/OIAA
OICD,Abdanan,Abdanan, ,IRAN,https://acukwik.com/Airport-Info/OICD
OIBA,Abumusa Island,Abumusa Island, ,IRAN,https://acukwik.com/Airport-Info/OIBA
OIAG,Aghajari,Aghajari, ,IRAN,https://acukwik.com/Airport-Info/OIAG
OIAW,Ahwaz,Ahwaz, ,IRAN,https://acukwik.com/Airport-Info/OIAW
OIHR,Arak,Arak, ,IRAN,https://acukwik.com/Airport-Info/OIHR
OITL,Ardabil,Ardabil, ,IRAN,https://acukwik.com/Airport-Info/OITL
OIBH,Bahregan,Bahregan, ,IRAN,https://acukwik.com/Airport-Info/OIBH
OIKM,Bam,Bam, ,IRAN,https://acukwik.com/Airport-Info/OIKM
OIKP,Bandar Abbas/Havadarya AB,Bandar Abbas, ,IRAN,https://acukwik.com/Airport-Info/OIKP
OIKB,Bandar Abbas International,Bandar Abbass, ,IRAN,https://acukwik.com/Airport-Info/OIKB
OIBL,Bandar Lengeh International,Bandar Lengeh, ,IRAN,https://acukwik.com/Airport-Info/OIBL
OIAM,Bandar Mahshahr/Mahshahr,Bandar Mahshahr, ,IRAN,https://acukwik.com/Airport-Info/OIAM
OIMB,Birjand,Birjand, ,IRAN,https://acukwik.com/Airport-Info/OIMB
OINJ,Bishe Kola AB,Bishe Kola, ,IRAN,https://acukwik.com/Airport-Info/OINJ
OIMN,Bojnord,Bojnord, ,IRAN,https://acukwik.com/Airport-Info/OIMN
OIBB,Bushehr,Bushehr, ,IRAN,https://acukwik.com/Airport-Info/OIBB
OIZC,Chah Bahak/Konarak AB,Chah Bahak , ,IRAN,https://acukwik.com/Airport-Info/OIZC
OISD,Darab,Darab, ,IRAN,https://acukwik.com/Airport-Info/OISD
OIAD,Dezful AB,Dezful, ,IRAN,https://acukwik.com/Airport-Info/OIAD
OISF,Fasa,Fasa, ,IRAN,https://acukwik.com/Airport-Info/OISF
OIAH,Gachsaran,Gachsaran, ,IRAN,https://acukwik.com/Airport-Info/OIAH
OIIK,Ghazvin,Ghazvin, ,IRAN,https://acukwik.com/Airport-Info/OIIK
OIIA,Ghazvin Azadi,Ghazvin Azadi, ,IRAN,https://acukwik.com/Airport-Info/OIIA
OIKQ,Gheshm Island/Dayrestan,Gheshm Island, ,IRAN,https://acukwik.com/Airport-Info/OIKQ
OING,Gorgan,Gorgan, ,IRAN,https://acukwik.com/Airport-Info/OING
OIHH,Hamadan,Hamadan, ,IRAN,https://acukwik.com/Airport-Info/OIHH
OIHS,Hamadan/Nogeh AB,Hamadan, ,IRAN,https://acukwik.com/Airport-Info/OIHS
OICI,Ilam (Ilaam),Ilam, ,IRAN,https://acukwik.com/Airport-Info/OICI
OIZI,Iran Shahr,Iran Shahr, ,IRAN,https://acukwik.com/Airport-Info/OIZI
OIFP,Esfahan/Badr AB,Isfahan, ,IRAN,https://acukwik.com/Airport-Info/OIFP
