ICAO,Airport Name,City,State,Country,Airport Link
ORAA,Al Asad AB,Al Asad AB, ,IRAQ,https://acukwik.com/Airport-Info/ORAA
ORAI,Al Askandariyah New [Iskandariya],Al Askandariyah, ,IRAQ,https://acukwik.com/Airport-Info/ORAI
ORBD,Al Bakr/Balad Southeast,Al Bakr, ,IRAQ,https://acukwik.com/Airport-Info/ORBD
ORNI,Al Najaf - Al Ashraf International,Al Najaf, ,IRAQ,https://acukwik.com/Airport-Info/ORNI
ORAT,Al Taqaddum AB,Al Taqaddum AB, ,IRAQ,https://acukwik.com/Airport-Info/ORAT
ORBI,Baghdad International,Baghdad, ,IRAQ,https://acukwik.com/Airport-Info/ORBI
ORMM,Basrah International,Basrah, ,IRAQ,https://acukwik.com/Airport-Info/ORMM
ORDD,Duhok,Duhok, ,IRAQ,https://acukwik.com/Airport-Info/ORDD
ORER,Erbil International,Erbil, ,IRAQ,https://acukwik.com/Airport-Info/ORER
ORKK,Kirkuk International,Kirkuk AB, ,IRAQ,https://acukwik.com/Airport-Info/ORKK
ORBM,Mosul,Mosul, ,IRAQ,https://acukwik.com/Airport-Info/ORBM
ORQW,Qayyarah West,Qayyarah West, ,IRAQ,https://acukwik.com/Airport-Info/ORQW
ORSU,Sulaymaniyah International,Sulaymaniyah, ,IRAQ,https://acukwik.com/Airport-Info/ORSU
ORTL,Imam Ali Air Base (Tallil),Tallil, ,IRAQ,https://acukwik.com/Airport-Info/ORTL
