ICAO,Airport Name,City,State,Country,Airport Link
HKAM,Amboseli,Amboseli, ,KENYA,https://acukwik.com/Airport-Info/HKAM
HKOM,Angama Mara,Angama Mara, ,KENYA,https://acukwik.com/Airport-Info/HKOM
,Bamburi,Bamburi, ,KENYA,https://acukwik.com/Airport-Info/ACMPQNM
HKEL,Eldoret International,Eldoret, ,KENYA,https://acukwik.com/Airport-Info/HKEL
HKGA,Garissa,Garissa, ,KENYA,https://acukwik.com/Airport-Info/HKGA
HKIS,Isiolo,Isiolo, ,KENYA,https://acukwik.com/Airport-Info/HKIS
HKKG,Kakamega,Kakamega, ,KENYA,https://acukwik.com/Airport-Info/HKKG
HKKI,Kisumu,Kisumu, ,KENYA,https://acukwik.com/Airport-Info/HKKI
HKKT,Kitale,Kitale, ,KENYA,https://acukwik.com/Airport-Info/HKKT
HKLU,Lamu/Manda,Lamu, ,KENYA,https://acukwik.com/Airport-Info/HKLU
,Lewa Downs,Lewa, ,KENYA,https://acukwik.com/Airport-Info/ACKTNPP
HKLK,Lokichoggio,Lokichoggio, ,KENYA,https://acukwik.com/Airport-Info/HKLK
HKML,Malindi,Malindi, ,KENYA,https://acukwik.com/Airport-Info/HKML
,Manda Bay,Manda Bay, ,KENYA,https://acukwik.com/Airport-Info/HKM1
HKMA,Mandera,Mandera, ,KENYA,https://acukwik.com/Airport-Info/HKMA
HKMO,Mombasa/Moi International,Mombasa, ,KENYA,https://acukwik.com/Airport-Info/HKMO
HKMY,Moyale Lower,Moyale, ,KENYA,https://acukwik.com/Airport-Info/HKMY
HKMK,Meru Mulika Lodge,MULIKA, ,KENYA,https://acukwik.com/Airport-Info/HKMK
HKJK,Nairobi Jomo Kenyatta International,Nairobi, ,KENYA,https://acukwik.com/Airport-Info/HKJK
HKRE,Nairobi Moi (Eastleigh) AB,Nairobi , ,KENYA,https://acukwik.com/Airport-Info/HKRE
HKNW,Nairobi/Wilson,Nairobi, ,KENYA,https://acukwik.com/Airport-Info/HKNW
HKNV,Naivasha,Naivasha, ,KENYA,https://acukwik.com/Airport-Info/HKNV
,Laikipia Air Base,Nanyuki, ,KENYA,https://acukwik.com/Airport-Info/ACMQSNP
HKNY,Nanyuki,Nanyuki, ,KENYA,https://acukwik.com/Airport-Info/HKNY
HKNI,Nyeri/Nayaribo,Nyeri, ,KENYA,https://acukwik.com/Airport-Info/HKNI
HKOK,Olkiombo,Olkiombo, ,KENYA,https://acukwik.com/Airport-Info/HKOK
HKSB,Buffalo Springs,Samburu, ,KENYA,https://acukwik.com/Airport-Info/HKSB
HKUK,Ukunda,Ukunda, ,KENYA,https://acukwik.com/Airport-Info/HKUK
HKWJ,Waghala/Wajir International,Wajir , ,KENYA,https://acukwik.com/Airport-Info/HKWJ
