ICAO,Airport Name,City,State,Country,Airport Link
GQNJ,Akjoujt,Akjoujt, ,MAURITANIA,https://acukwik.com/Airport-Info/GQNJ
GQPA,Atar,Atar, ,MAURITANIA,https://acukwik.com/Airport-Info/GQPA
GQNA,Aioun El Atrouss,Ayoun El Atrous, ,MAURITANIA,https://acukwik.com/Airport-Info/GQNA
GQPT,Bir Moghrein,Bir Mogrein, ,MAURITANIA,https://acukwik.com/Airport-Info/GQPT
GQNK,Kaedi,Kaedi, ,MAURITANIA,https://acukwik.com/Airport-Info/GQNK
GQNF,Kiffa,Kiffa, ,MAURITANIA,https://acukwik.com/Airport-Info/GQNF
GQNI,Nema,Nema, ,MAURITANIA,https://acukwik.com/Airport-Info/GQNI
GQPP,Nouadhibou,Nouadhibou, ,MAURITANIA,https://acukwik.com/Airport-Info/GQPP
GQNN,Nouakchott,Nouakchott, ,MAURITANIA,https://acukwik.com/Airport-Info/GQNN
GQNO,Nouakchott Oumtounsy International,Nouakchott, ,MAURITANIA,https://acukwik.com/Airport-Info/GQNO
GQNS,Selibady,Selibady, ,MAURITANIA,https://acukwik.com/Airport-Info/GQNS
GQND,Tidjikja,Tidjikja, ,MAURITANIA,https://acukwik.com/Airport-Info/GQND
GQPZ,Zoueratt - Tazadit,Zoueratt, ,MAURITANIA,https://acukwik.com/Airport-Info/GQPZ
