ICAO,Airport Name,City,State,Country,Airport Link
FYEN,Eenhana,Eenhana, ,NAMIBIA,https://acukwik.com/Airport-Info/FYEN
FYGF,Grootfontein AB,Grootfontein, ,NAMIBIA,https://acukwik.com/Airport-Info/FYGF
FYKA,Karibib AB,Karibib, ,NAMIBIA,https://acukwik.com/Airport-Info/FYKA
FYKM,Katima Mulilo/Mpacha,Katima Mulilo, ,NAMIBIA,https://acukwik.com/Airport-Info/FYKM
FYKT,Keetmanshoop,Keetmanshoop, ,NAMIBIA,https://acukwik.com/Airport-Info/FYKT
FYLZ,Luderitz,Luderitz, ,NAMIBIA,https://acukwik.com/Airport-Info/FYLZ
FYML,Mariental,Mariental, ,NAMIBIA,https://acukwik.com/Airport-Info/FYML
FYMO,Mokuti Lodge,Mokuti Lodge, ,NAMIBIA,https://acukwik.com/Airport-Info/FYMO
FYOA,Ondangwa/Andimba Toivo ya Toivo,Ondangwa, ,NAMIBIA,https://acukwik.com/Airport-Info/FYOA
FYOG,Oranjemund,Oranjemund, ,NAMIBIA,https://acukwik.com/Airport-Info/FYOG
FYSA,Skorpion Mine,Rosh Pinah, ,NAMIBIA,https://acukwik.com/Airport-Info/FYSA
FYRC,Ruacana,Ruacana, ,NAMIBIA,https://acukwik.com/Airport-Info/FYRC
FYRU,Rundu,Runtu, ,NAMIBIA,https://acukwik.com/Airport-Info/FYRU
FYAR,Arandis ,Swakopmund, ,NAMIBIA,https://acukwik.com/Airport-Info/FYAR
FYSM,Swakopmund,Swakopmund, ,NAMIBIA,https://acukwik.com/Airport-Info/FYSM
FYTM,Tsumeb,Tsumeb, ,NAMIBIA,https://acukwik.com/Airport-Info/FYTM
FYWB,Walvis Bay-Rooikop,Walvis Bay, ,NAMIBIA,https://acukwik.com/Airport-Info/FYWB
FYWH,Hosea Kutako International,Windhoek, ,NAMIBIA,https://acukwik.com/Airport-Info/FYWH
FYWE,Windhoek Eros,Windhoek, ,NAMIBIA,https://acukwik.com/Airport-Info/FYWE
