ICAO,Airport Name,City,State,Country,Airport Link
MPPA,Balboa/Panama Pacifico International,Balboa, ,PANAMA,https://acukwik.com/Airport-Info/MPPA
MPBO,Bocas Del Toro/Jose Ezequiel Hall International,Bocas Del Toro, ,PANAMA,https://acukwik.com/Airport-Info/MPBO
MPCH,Changuinola/Cpt Manuel Antonio Nino,Changuinola, ,PANAMA,https://acukwik.com/Airport-Info/MPCH
MPCE,Herrera/Alonso Valderrama,Chitre, ,PANAMA,https://acukwik.com/Airport-Info/MPCE
MPEJ,Colon/Enrique Adolfo Jimenez,Colon, ,PANAMA,https://acukwik.com/Airport-Info/MPEJ
MPDA,David/Enrique Malek International,David, ,PANAMA,https://acukwik.com/Airport-Info/MPDA
MPJE,Jaqué,Jaqué, ,PANAMA,https://acukwik.com/Airport-Info/MPJE
MPRA,Contadora/Raul Arias Espinoza,Panama City, ,PANAMA,https://acukwik.com/Airport-Info/MPRA
MPMG,Panama City/Marcos Gelabert Intl,Panama City, ,PANAMA,https://acukwik.com/Airport-Info/MPMG
MPTO,Panama/Tocumen International,Panama City, ,PANAMA,https://acukwik.com/Airport-Info/MPTO
,Pedasi/Capt. J. Montenegro,Pedasi, ,PANAMA,https://acukwik.com/Airport-Info/ACMQTSQ
MPSM,Rio Hato/Capt Scarlett R Martinez Intl,Rio Hato, ,PANAMA,https://acukwik.com/Airport-Info/MPSM
MPSA,Veraguas/Santiago/Ruben Cantu,Veraguas, ,PANAMA,https://acukwik.com/Airport-Info/MPSA
