ICAO,Airport Name,City,State,Country,Airport Link
RPLC,Clark/Diosdado Macapagal International,Angeles/Pampanga, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPLC
RPVS,Antique/San Jose de Buenavista/Evelio B Javier,Antique, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVS
RPLH,Cagayan North Intl,Aparri, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPLH
RPUZ,Bagabag Community,Bagabag, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUZ
RPUB,Loakan/Baguio,Baguio, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUB
RPUR,Dr Juan C Angara/Baler Community,Baler, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUR
RPUO,Basco,Batan Isl, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUO
RPMF,Bislig,Bislig, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMF
RPMN,Bongao/Sanga-Sanga,Bongao, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMN
RPVW,Punta Maria/Borongan,Borongan, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVW
RPME,Butuan (Bancasi),Butuan, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPME
RPML,Cagayan De Oro (Lumbia),Cagayan de Oro, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPML
RPUV,Virac,Catanduanes Island, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUV
RPVY,Catbalogan Community,Catbalogan, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVY
RPVE,Caticlan/Godofredo P Ramos,Caticlan, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVE
RPUY,Cauayan Community,Cauayan, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUY
RPLS,Cavite/Sangley Principal,Cavite, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPLS
RPVV,Coron/Busuanga/Francisco B Reyes,Coron, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVV
RPMC,Cotabato,Cotabato, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMC
RPUD,Daet Community,Daet, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUD
RPMD,Davao/Francisco Bangoy International,Davao, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMD
RPNS,Sayak/Siargao Island,Del Carmen, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPNS
RPMG,Dipolog,Dipolog, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMG
RPVD,Dumaguete/Sibulan,Dumaguete, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVD
RPXX,El Nido,El Nido, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPXX
RPLV,Fort Magsaysay,Fort Magsaysay, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPLV
RPUW,Gasan/Marinduque,Gasan/Marinduque, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUW
RPMR,General Santos/Tambler International,Gen Santos City, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMR
RPMB,Buayan/Rajah Buayan or General Santos AB,General Santos City, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMB
RPMI,Iligan City/Maria Cristina Iligan,Iligan City, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMI
RPVI,Iloilo,Iloilo, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVI
RPMJ,Jolo,Jolo Isl, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMJ
RPVK,Kalibo ,Kalibo, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVK
RPMY,Laguindingan International,Laguindingan, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMY
RPLI,Laoag International,Laoag, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPLI
RPVM,Mactan-Cebu International,Lapu Lapu City, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVM
RPLK,Legazpi/Bicol International,Legazpi, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPLK
RPLU,Lubang Island/Lubang Community,Lubang Isl, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPLU
RPSM,Maasin,Maasin, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPSM
RPMM,Malabang,Malabang, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMM
RPMH,Mambajao/Camiguin,Mambajao, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMH
RPUM,Mamburao Community,Mamburao, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUM
RPLL,Manila/Ninoy Aquino International,Manila, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPLL
RPVJ,Masbate,Masbate Island, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVJ
RPMQ,Mati Community,Mati, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMQ
RPLB,Olongapo/Subic Bay International,Olongapo, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPLB
RPVO,Ormoc,Ormoc, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVO
RPMO,Ozamis Labo,Ozamis, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMO
RPMP,Pagadian,Pagadian, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMP
RPUN,Naga,Pili, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUN
RPLA,Pinamalayan,Pinamalayan, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPLA
RPVP,Palawan Island/Puerto Princesa Intl,Puerto Princesa, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVP
RPVR,Roxas,Roxas, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVR
RPVG,East Samar Island/Guiuan,Samar Island, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVG
RPVF,North Samar Island/Catarman,Samar Island, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVF
RPVC,Samar Isl/Calbayog,Samar Island, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVC
RPUS,San Fernando Community,San Fernando, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUS
RPUH,San Jose,San Jose, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUH
RPVB,Bacolod-Silay,Silay, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVB
RPVZ,Siquijor Community,Siquijor, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVZ
RPMA,Surallah/Allah Valley,Surallah, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMA
RPMS,Surigao,Surigao, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMS
RPVU,Tugdan-Alcantara/Romblon,Tablas Island, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVU
RPVA,Tacloban/Daniel Z Romualdez,Tacloban, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVA
RPSP,Bohol-Panglao International,Tagbilaran, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPSP
RPVT,Bohol Island/Tagbilaran,Tagbilarn, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPVT
RPMW,Tandag,Tandag, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMW
RPUT,Tuguegarao,Tuguegarao, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUT
RPSN,Ubay Community,Ubay, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPSN
RPUQ,Vigan Community,Vigan, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPUQ
RPMZ,Zamboanga International,Zamboanga, ,PHILIPPINES,https://acukwik.com/Airport-Info/RPMZ
