ICAO,Airport Name,City,State,Country,Airport Link
LPAR,Alverca AB,Alverca do Ribatejo, ,PORTUGAL,https://acukwik.com/Airport-Info/LPAR
LPAV,Aveiro,Aveiro, ,PORTUGAL,https://acukwik.com/Airport-Info/LPAV
LPBJ,Beja/Beja AB,Beja, ,PORTUGAL,https://acukwik.com/Airport-Info/LPBJ
LPBR,Braga,Braga, ,PORTUGAL,https://acukwik.com/Airport-Info/LPBR
LPBG,Braganca,Braganca, ,PORTUGAL,https://acukwik.com/Airport-Info/LPBG
LPCH,Chaves,Chaves, ,PORTUGAL,https://acukwik.com/Airport-Info/LPCH
LPCO,Coimbra,Coimbra, ,PORTUGAL,https://acukwik.com/Airport-Info/LPCO
LPTN,Constancia/Tancos AB,Constancia, ,PORTUGAL,https://acukwik.com/Airport-Info/LPTN
LPIN,Espinho,Espinho, ,PORTUGAL,https://acukwik.com/Airport-Info/LPIN
LPEV,Evora Municipal,Evora, ,PORTUGAL,https://acukwik.com/Airport-Info/LPEV
LPFR,Faro Algarve,Faro, ,PORTUGAL,https://acukwik.com/Airport-Info/LPFR
LPMR,Monte Real AB,Leiria, ,PORTUGAL,https://acukwik.com/Airport-Info/LPMR
LPCS,Cascais Municipal,Lisbon, ,PORTUGAL,https://acukwik.com/Airport-Info/LPCS
LPPT,Lisbon International/Humberto Delgado,Lisbon, ,PORTUGAL,https://acukwik.com/Airport-Info/LPPT
LPMT,Montijo AB,Lisbon, ,PORTUGAL,https://acukwik.com/Airport-Info/LPMT
LPVL,Maia-Vilar da Luz,Maia, ,PORTUGAL,https://acukwik.com/Airport-Info/LPVL
LPMU,"Lugar da Eira, Azinhoso - Mogadouro",Mogadouro, ,PORTUGAL,https://acukwik.com/Airport-Info/LPMU
LPMO,Montargil - Morargil,Mora, ,PORTUGAL,https://acukwik.com/Airport-Info/LPMO
LPOV,Ovar AB (Manobra No 1),Ovar, ,PORTUGAL,https://acukwik.com/Airport-Info/LPOV
LPSO,Ponte de Sor,Ponte de Sor, ,PORTUGAL,https://acukwik.com/Airport-Info/LPSO
LPPM,Portimao,Portimao, ,PORTUGAL,https://acukwik.com/Airport-Info/LPPM
LPPR,Porto (Oporto) Francisco Sa Carneiro,Porto, ,PORTUGAL,https://acukwik.com/Airport-Info/LPPR
LPSR,Santarem - Cosme Pedrogao,Santarem, ,PORTUGAL,https://acukwik.com/Airport-Info/LPSR
LPSE,Seia,Seia, ,PORTUGAL,https://acukwik.com/Airport-Info/LPSE
LPST,Sintra AB,Sintra, ,PORTUGAL,https://acukwik.com/Airport-Info/LPST
LPVR,Vila Real,Vila Real, ,PORTUGAL,https://acukwik.com/Airport-Info/LPVR
LPVZ,Viseu Goncalves Lobato,Viseu, ,PORTUGAL,https://acukwik.com/Airport-Info/LPVZ
