ICAO,Airport Name,City,State,Country,Airport Link
LRAR,Arad,Arad, ,ROMANIA,https://acukwik.com/Airport-Info/LRAR
LRBC,George Enescu International  Bacau,Bacau, ,ROMANIA,https://acukwik.com/Airport-Info/LRBC
LRBM,Maramures International,Baia Mare, ,ROMANIA,https://acukwik.com/Airport-Info/LRBM
LRBV,Brasov-Ghimbav International,Brasov, ,ROMANIA,https://acukwik.com/Airport-Info/LRBV
LRBS,Bucharest Baneasa Aurel Vlaicu,Bucharest, ,ROMANIA,https://acukwik.com/Airport-Info/LRBS
LROP,Bucharest Henri Coanda International,Bucharest, ,ROMANIA,https://acukwik.com/Airport-Info/LROP
LRCT,Campia Turzii  AB,Campia Turzii , ,ROMANIA,https://acukwik.com/Airport-Info/LRCT
LRCS,Caransebes/Banat,Caras-Severin, ,ROMANIA,https://acukwik.com/Airport-Info/LRCS
LRCL,Cluj Avram Iancu International,Cluj Napoca, ,ROMANIA,https://acukwik.com/Airport-Info/LRCL
LRCK,Constanta Mihail Kogalniceanu,Constanta, ,ROMANIA,https://acukwik.com/Airport-Info/LRCK
LRCV,Craiova Intl,Craiova, ,ROMANIA,https://acukwik.com/Airport-Info/LRCV
LRIA,Iasi,Iasi, ,ROMANIA,https://acukwik.com/Airport-Info/LRIA
LROD,Oradea International,Oradea, ,ROMANIA,https://acukwik.com/Airport-Info/LROD
LRSM,Satu Mare,Satu Mare, ,ROMANIA,https://acukwik.com/Airport-Info/LRSM
LRSB,Sibiu International,Sibiu, ,ROMANIA,https://acukwik.com/Airport-Info/LRSB
LRSV,Suceava (Salcea) Stefan cel Mare,Suceava, ,ROMANIA,https://acukwik.com/Airport-Info/LRSV
LRTM,Vidrasau/Transilvania Targu Mures,Targu Mures, ,ROMANIA,https://acukwik.com/Airport-Info/LRTM
LRTR,Timisoara Traian Vuia Intl,Timisoara, ,ROMANIA,https://acukwik.com/Airport-Info/LRTR
LRTC,Delta Dunarii Tulcea,Tulcea, ,ROMANIA,https://acukwik.com/Airport-Info/LRTC
