ICAO,Airport Name,City,State,Country,Airport Link
LJAJ,Ajdovšcina,Ajdovšcina, ,SLOVENIA,https://acukwik.com/Airport-Info/LJAJ
LJBO,Bovec-LJBO,Bovec, ,SLOVENIA,https://acukwik.com/Airport-Info/LJBO
LJCL,Celje,Celje, ,SLOVENIA,https://acukwik.com/Airport-Info/LJCL
LJCE,Cerklje ob Krki,Cerklje, ,SLOVENIA,https://acukwik.com/Airport-Info/LJCE
,Divaca,Divaca, ,SLOVENIA,https://acukwik.com/Airport-Info/ACMPRQN
LJBL,Lesce/Bled,Lesce, ,SLOVENIA,https://acukwik.com/Airport-Info/LJBL
LJLJ,Ljubljana/Brnik Joze Pucnik,Ljubljana, ,SLOVENIA,https://acukwik.com/Airport-Info/LJLJ
LJMB,Maribor Edvard Rusjan,Maribor, ,SLOVENIA,https://acukwik.com/Airport-Info/LJMB
LJMS,Murska Sobota,Murska Sobota, ,SLOVENIA,https://acukwik.com/Airport-Info/LJMS
LJNM,Novo mesto,Novo mesto, ,SLOVENIA,https://acukwik.com/Airport-Info/LJNM
LJPZ,Portoroz,Portoroz, ,SLOVENIA,https://acukwik.com/Airport-Info/LJPZ
LJPO,Postojna,Postojna, ,SLOVENIA,https://acukwik.com/Airport-Info/LJPO
LJPT,Ptuj,Ptuj, ,SLOVENIA,https://acukwik.com/Airport-Info/LJPT
LJSG,Slovenj Gradec,Slovenj Gradec, ,SLOVENIA,https://acukwik.com/Airport-Info/LJSG
LJSK,Slovenske Konjice,Slovenske Konjice, ,SLOVENIA,https://acukwik.com/Airport-Info/LJSK
LJSO,Sostanj,Sostanj, ,SLOVENIA,https://acukwik.com/Airport-Info/LJSO
