ICAO,Airport Name,City,State,Country,Airport Link
VCCA,Anuradhapura AB,Anuradhapura, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCA
VCCB,Batticaloa International,Batticaloa, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCB
VCBI,Colombo/Bandaranaike International,Colombo, ,SRI LANKA,https://acukwik.com/Airport-Info/VCBI
VCCC,Colombo/Ratmalana,Colombo, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCC
VCCG,Gal Oya/Ampara AB,Gal Oya, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCG
VCCK,Galle/Koggla,Galle, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCK
VCRI,Hambantota/Mattala Rajapaksa International,Hambantota, ,SRI LANKA,https://acukwik.com/Airport-Info/VCRI
VCCW,Hambantota/Wirawila AB,Hambantota, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCW
VCCH,Hingurakgoda/Minneriya AB,Hingurakgoda, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCH
VCCN,Kalutara/Katukurunda,Kalutara, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCN
VCCJ,Kankesanrurai/Jaffna International,Kankesanrurai, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCJ
VCCS,Sigiriya AB,Sigiriya, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCS
VCCT,Trincomalee-China Bay AB,Trincomalee, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCT
VCCV,Vavuniya AB,Vavuniya, ,SRI LANKA,https://acukwik.com/Airport-Info/VCCV
