ICAO,Airport Name,City,State,Country,Airport Link
HSAT,Atbara,Atbara, ,SUDAN,https://acukwik.com/Airport-Info/HSAT
,Baleela,Baleela, ,SUDAN,https://acukwik.com/Airport-Info/ACMQSNM
HSDZ,Damazin,Damazin, ,SUDAN,https://acukwik.com/Airport-Info/HSDZ
HSDN,Dongola,Dongola, ,SUDAN,https://acukwik.com/Airport-Info/HSDN
HSFS,El Fashir International,El Fashir, ,SUDAN,https://acukwik.com/Airport-Info/HSFS
HSOB,El Obeid,El Obeid, ,SUDAN,https://acukwik.com/Airport-Info/HSOB
HSGN,Geneina,Geneina, ,SUDAN,https://acukwik.com/Airport-Info/HSGN
HSLI,Kadugli,Kadugli, ,SUDAN,https://acukwik.com/Airport-Info/HSLI
HSKA,Kassala,Kassala, ,SUDAN,https://acukwik.com/Airport-Info/HSKA
HSSK,Khartoum,Khartoum, ,SUDAN,https://acukwik.com/Airport-Info/HSSK
HSWS,Wadi Seidna AB,Khartoum, ,SUDAN,https://acukwik.com/Airport-Info/HSWS
HSMN,Merowe,Merowe, ,SUDAN,https://acukwik.com/Airport-Info/HSMN
HSNN,Nyala,Nyala, ,SUDAN,https://acukwik.com/Airport-Info/HSNN
HSPN,Port Sudan New International,Port Sudan, ,SUDAN,https://acukwik.com/Airport-Info/HSPN
HSSP,Port Sudan Regional AB,Port Sudan, ,SUDAN,https://acukwik.com/Airport-Info/HSSP
HSSG,Sebera Geneina,Sebera Geneina, ,SUDAN,https://acukwik.com/Airport-Info/HSSG
