ICAO,Airport Name,City,State,Country,Airport Link
ESMP,Anderstorp,Anderstorp,F ,SWEDEN,https://acukwik.com/Airport-Info/ESMP
ESTA,Ängelholm Helsingborg ,Angelholm,M ,SWEDEN,https://acukwik.com/Airport-Info/ESTA
ESQO,Arboga,Arboga,U ,SWEDEN,https://acukwik.com/Airport-Info/ESQO
ESNX,Arvidsjaur,Arvidsjaur,BD ,SWEDEN,https://acukwik.com/Airport-Info/ESNX
ESKV,Arvika Westlanda,Arvika,S ,SWEDEN,https://acukwik.com/Airport-Info/ESKV
ESPJ,Boden/Heden AB,Boden,BD ,SWEDEN,https://acukwik.com/Airport-Info/ESPJ
ESSD,Borlange/Dala,Borlange,W ,SWEDEN,https://acukwik.com/Airport-Info/ESSD
ESFY,Byholma AB,Byholma,G ,SWEDEN,https://acukwik.com/Airport-Info/ESFY
ESMA,Emmaboda,Emmaboda,H ,SWEDEN,https://acukwik.com/Airport-Info/ESMA
ESSU,Eskilstuna,Eskilstuna,D ,SWEDEN,https://acukwik.com/Airport-Info/ESSU
ESGK,Falkoping,Falkoping,O ,SWEDEN,https://acukwik.com/Airport-Info/ESGK
ESNG,Gallivare/Lapland ,Gallivare,BD ,SWEDEN,https://acukwik.com/Airport-Info/ESNG
ESSK,Gavle Gestrike,Gavle,X ,SWEDEN,https://acukwik.com/Airport-Info/ESSK
ESGG,Göteborg/Landvetter,Gothenburg,O ,SWEDEN,https://acukwik.com/Airport-Info/ESGG
ESOH,Hagfors,Hagfors,S ,SWEDEN,https://acukwik.com/Airport-Info/ESOH
ESMT,Halmstad City,Halmstad,N ,SWEDEN,https://acukwik.com/Airport-Info/ESMT
ESFH,Hasslosa AB,Hasslosa,O ,SWEDEN,https://acukwik.com/Airport-Info/ESFH
ESNC,Hedlanda,Hede-Vemdalen,Z ,SWEDEN,https://acukwik.com/Airport-Info/ESNC
ESUT,Hemavan Tarnaby,Hemavan,AC ,SWEDEN,https://acukwik.com/Airport-Info/ESUT
ESNH,Hudiksvall,Hudiksvall,X ,SWEDEN,https://acukwik.com/Airport-Info/ESNH
ESSF,Hultsfred,Hultsfred,H ,SWEDEN,https://acukwik.com/Airport-Info/ESSF
ESUE,Idre,Idre,W ,SWEDEN,https://acukwik.com/Airport-Info/ESUE
ESNJ,Jokkmokk AB,Jokkmokk,BD ,SWEDEN,https://acukwik.com/Airport-Info/ESNJ
ESGJ,Jonkoping,Jonkoping,F ,SWEDEN,https://acukwik.com/Airport-Info/ESGJ
ESMQ,Kalmar Oland,Kalmar,H ,SWEDEN,https://acukwik.com/Airport-Info/ESMQ
ESIA,Karlsborg AB,Karlsborg,O ,SWEDEN,https://acukwik.com/Airport-Info/ESIA
ESKK,Karlskoga,Karlskoga,T ,SWEDEN,https://acukwik.com/Airport-Info/ESKK
ESOK,Karlstad,Karlstad,S ,SWEDEN,https://acukwik.com/Airport-Info/ESOK
ESNQ,Kiruna,Kiruna,BD ,SWEDEN,https://acukwik.com/Airport-Info/ESNQ
ESFQ,Kosta AB,Kosta,G ,SWEDEN,https://acukwik.com/Airport-Info/ESFQ
ESNK,Höga Kusten (Kramfors/Sollefteå),Kramfors,Y ,SWEDEN,https://acukwik.com/Airport-Info/ESNK
ESMK,Kristianstad Osterlen,Kristianstad,M ,SWEDEN,https://acukwik.com/Airport-Info/ESMK
ESML,Viarp Landskrona,Landskrona,M ,SWEDEN,https://acukwik.com/Airport-Info/ESML
ESGL,Lidkoping Hovby Flygplats AB,Lidkoping,O ,SWEDEN,https://acukwik.com/Airport-Info/ESGL
ESIB,Satenas AB,Lidköping,O ,SWEDEN,https://acukwik.com/Airport-Info/ESIB
ESSL,Linkoping City/Saab,Linkoping,E ,SWEDEN,https://acukwik.com/Airport-Info/ESSL
ESCF,Linkoping/Malmen AB,Linkoping,E ,SWEDEN,https://acukwik.com/Airport-Info/ESCF
ESMG,Feringe,Ljungby,G ,SWEDEN,https://acukwik.com/Airport-Info/ESMG
ESTL,Ljungbyhed,Ljungbyhed,M ,SWEDEN,https://acukwik.com/Airport-Info/ESTL
ESPA,Lulea/Kallax,Lulea,BD ,SWEDEN,https://acukwik.com/Airport-Info/ESPA
ESNL,Lycksele,Lycksele,AC ,SWEDEN,https://acukwik.com/Airport-Info/ESNL
ESMS,Malmo Sturup,Malmo,M ,SWEDEN,https://acukwik.com/Airport-Info/ESMS
ESKM,Mora,Mora,W ,SWEDEN,https://acukwik.com/Airport-Info/ESKM
ESCK,Bravalla AB,Norrkoping,E ,SWEDEN,https://acukwik.com/Airport-Info/ESCK
ESSP,Norrkoping (Kungsangen),Norrkoping,E ,SWEDEN,https://acukwik.com/Airport-Info/ESSP
ESOE,Orebro,Orebro,T ,SWEDEN,https://acukwik.com/Airport-Info/ESOE
ESNO,Ornskoldsvik,Ornskoldsvik,Y ,SWEDEN,https://acukwik.com/Airport-Info/ESNO
ESNR,Orsa,Orsa,W ,SWEDEN,https://acukwik.com/Airport-Info/ESNR
ESMO,Oskarshamn,Oskarshamn,H ,SWEDEN,https://acukwik.com/Airport-Info/ESMO
ESNZ,Are Ostersund,Ostersund,Z ,SWEDEN,https://acukwik.com/Airport-Info/ESNZ
