ICAO,Airport Name,City,State,Country,Airport Link
LSMA,Alpnach AB,Alpnach, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSMA
LSPM,Ambri,Ambri, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSPM
LSZB,Bern/Belp,Bern, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZB
LSZE,Bad Ragaz,Chur, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZE
LSXE,Erstfeld Heliport,Esrtfeld, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSXE
LSGT,Gruyeres,Freiburg, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSGT
LSGG,Geneva International,Geneva, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSGG
LSZM,Mollis,Glarus, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZM
LSMF,Mollis Heliport,Glarus, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSMF
LSZG,Grenchen,Grenchen, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZG
LSGK,Gstaad Saanen,Gstaad, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSGK
LSTZ,Zweisimmen,Gstaad, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSTZ
LSXG,Gsteigwiler Heliport,Gsteigwiler, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSXG
LSGC,La Chaux de Fonds/Les Eplatures,La Chaux de Fonds, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSGC
LSGL,Lausanne-La Blecherette,Lausanne, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSGL
LSZL,Locarno,Locarno, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZL
LSZA,Lugano,Lugano, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZA
LSZC,Buochs,Luzern, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZC
LSME,Luzern/Emmen AB,Luzern, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSME
LSGN,Neuchatel,Neuchatel, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSGN
LSMP,Payerne ,Payerne, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSMP
LSXP,Pfaffnau,Pfaffnau, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSXP
LSZS,Engadin - St Moritz/Samedan,Samedan, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZS
LSXS,Schindellegi Heliport,Schindellegi, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSXS
LSGS,Sion,Sion, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSGS
LSZV,Sitterdorf,St Gallen, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZV
LSZR,St Gallen-Altenrhein,St Gallen, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZR
LSTS,St Stephan AB (Sankt Stephan),St Stephan, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSTS
LSXU,Untervaz Heliport,Untervaz, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSXU
LSER,Valais/Raron Heliport,Valais, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSER
LSEZ,Valais/Zermatt Heliport,Valais, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSEZ
LSTA,Raron,Visp, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSTA
LSMD,Dubendorf AB,Zurich, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSMD
LSZH,Zurich,Zurich, ,SWITZERLAND,https://acukwik.com/Airport-Info/LSZH
