ICAO,Airport Name,City,State,Country,Airport Link
VTBT,Bang Phra,Bang Phra, ,THAILAND,https://acukwik.com/Airport-Info/VTBT
VTBD,Bangkok/Don Mueang International,Bangkok, ,THAILAND,https://acukwik.com/Airport-Info/VTBD
VTBS,New Bangkok Intl/Suvarnabhumi Intl,Bangkok, ,THAILAND,https://acukwik.com/Airport-Info/VTBS
VTUO,Buri Ram,Buri Ram, ,THAILAND,https://acukwik.com/Airport-Info/VTUO
VTCC,Chiang Mai International,Chiang Mai, ,THAILAND,https://acukwik.com/Airport-Info/VTCC
VTCT,Chiang Rai/Mae Fah Luang Intl,Chiang Rai, ,THAILAND,https://acukwik.com/Airport-Info/VTCT
VTCR,Chiang Rai/Rob Wiang,Chiang Rai, ,THAILAND,https://acukwik.com/Airport-Info/VTCR
VTSE,Chumphon (Tab Gai),Chumphon, ,THAILAND,https://acukwik.com/Airport-Info/VTSE
VTUK,Khon Kaen,Khon Kaen, ,THAILAND,https://acukwik.com/Airport-Info/VTUK
VTSM,Surat Thani/Samui Island International,Koh Samui Island, ,THAILAND,https://acukwik.com/Airport-Info/VTSM
VTSG,Krabi International,Krabi, ,THAILAND,https://acukwik.com/Airport-Info/VTSG
VTCL,Lampang,Lampang, ,THAILAND,https://acukwik.com/Airport-Info/VTCL
VTUL,Loei,Loei, ,THAILAND,https://acukwik.com/Airport-Info/VTUL
VTBL,Lop Buri/Khok Kathiam,Lop Buri, ,THAILAND,https://acukwik.com/Airport-Info/VTBL
VTBH,Lop Buri/Sapran Nak,Lop Buri, ,THAILAND,https://acukwik.com/Airport-Info/VTBH
VTCH,Mae Hong Son,Mae Hong Son, ,THAILAND,https://acukwik.com/Airport-Info/VTCH
VTBK,Nakhon Pathom/Kamphaeng Saen,Nakhon Pathom, ,THAILAND,https://acukwik.com/Airport-Info/VTBK
VTUW,Nakhon Phanom,Nakhon Phanom, ,THAILAND,https://acukwik.com/Airport-Info/VTUW
VTUQ,Nakhon Ratchasima,Nakhon Ratchasima, ,THAILAND,https://acukwik.com/Airport-Info/VTUQ
VTUN,Nakhon Ratchasima/Khorat,Nakhon Ratchasima, ,THAILAND,https://acukwik.com/Airport-Info/VTUN
VTPN,Nakhon Sawan,Nakhon Sawan, ,THAILAND,https://acukwik.com/Airport-Info/VTPN
VTPI,Nakhon Sawan/Takhli,Nakhon Sawan, ,THAILAND,https://acukwik.com/Airport-Info/VTPI
VTSN,Nakhon Si Thammara/Cha-Ian,Nakhon Si Thamm, ,THAILAND,https://acukwik.com/Airport-Info/VTSN
VTSF,Nakhon Si Thammarat,Nakhon Si Thammarat, ,THAILAND,https://acukwik.com/Airport-Info/VTSF
VTCN,Nan Nakhon,Nan, ,THAILAND,https://acukwik.com/Airport-Info/VTCN
VTSC,Narathiwat,Narathiwat, ,THAILAND,https://acukwik.com/Airport-Info/VTSC
VTCI,Pai,Pai, ,THAILAND,https://acukwik.com/Airport-Info/VTCI
VTSK,Pattani,Pattani, ,THAILAND,https://acukwik.com/Airport-Info/VTSK
VTPB,Phetchabun,Phetchabun, ,THAILAND,https://acukwik.com/Airport-Info/VTPB
VTPP,Phitsanulok,Phitsanulok, ,THAILAND,https://acukwik.com/Airport-Info/VTPP
VTCP,Phrae,Phrae, ,THAILAND,https://acukwik.com/Airport-Info/VTCP
VTSP,Phuket International,Phuket, ,THAILAND,https://acukwik.com/Airport-Info/VTSP
VTBP,Prachuap Khiri Khan,Prachuap, ,THAILAND,https://acukwik.com/Airport-Info/VTBP
VTPH,Prachuap Khiri Khan/Hua Hin,Prachuap Khiri Khan, ,THAILAND,https://acukwik.com/Airport-Info/VTPH
VTSR,Ranong,Ranong, ,THAILAND,https://acukwik.com/Airport-Info/VTSR
VTBU,Rayong/U-Tapao Rayong Pattaya International,Rayong, ,THAILAND,https://acukwik.com/Airport-Info/VTBU
VTUV,Roi Et,Roi Et, ,THAILAND,https://acukwik.com/Airport-Info/VTUV
VTBW,Sa Kaeo/Watthana Nakhon,Sa Kaeo, ,THAILAND,https://acukwik.com/Airport-Info/VTBW
VTUI,Ban Khai/Sakon Nakhon,Sakon Nakhon, ,THAILAND,https://acukwik.com/Airport-Info/VTUI
VTSA,Satun/Khoun Khan,Satun, ,THAILAND,https://acukwik.com/Airport-Info/VTSA
VTSH,Songkhla,Songkhla, ,THAILAND,https://acukwik.com/Airport-Info/VTSH
VTSS,Songkhla/Hat Yai International,Songkhla, ,THAILAND,https://acukwik.com/Airport-Info/VTSS
VTPO,Sukhothai,Sukhothai, ,THAILAND,https://acukwik.com/Airport-Info/VTPO
VTSB,Surat Thani,Surat Thani, ,THAILAND,https://acukwik.com/Airport-Info/VTSB
VTUJ,Surin,Surin, ,THAILAND,https://acukwik.com/Airport-Info/VTUJ
VTPT,Tak,Tak, ,THAILAND,https://acukwik.com/Airport-Info/VTPT
VTPY,Tak/Khuan Phumiphon,Tak, ,THAILAND,https://acukwik.com/Airport-Info/VTPY
VTPM,Tak/Mae Sot,Tak, ,THAILAND,https://acukwik.com/Airport-Info/VTPM
VTST,Trang,Trang, ,THAILAND,https://acukwik.com/Airport-Info/VTST
VTBO,Trat/Khao Sming,Trat, ,THAILAND,https://acukwik.com/Airport-Info/VTBO
VTUU,Ubon Ratchathani,Ubon Ratchathani, ,THAILAND,https://acukwik.com/Airport-Info/VTUU
VTUD,Udon Thani,Udon Thani, ,THAILAND,https://acukwik.com/Airport-Info/VTUD
VTSY,Yala/Betong International,Yala, ,THAILAND,https://acukwik.com/Airport-Info/VTSY
