ICAO,Airport Name,City,State,Country,Airport Link
LTAF,Adana International,Adana, ,TURKEY,https://acukwik.com/Airport-Info/LTAF
LTAG,Adana/Incirlik AB,Adana, ,TURKEY,https://acukwik.com/Airport-Info/LTAG
LTDB,Çukurova International,Adana, ,TURKEY,https://acukwik.com/Airport-Info/LTDB
LTCP,Adiyaman,Adiyaman, ,TURKEY,https://acukwik.com/Airport-Info/LTCP
LTAH,Afyon AB,Afyon, ,TURKEY,https://acukwik.com/Airport-Info/LTAH
LTCO,Ahmen-i Hani/Agri,Agri, ,TURKEY,https://acukwik.com/Airport-Info/LTCO
LTBT,Manisa/Akhisar AB,Akhisar, ,TURKEY,https://acukwik.com/Airport-Info/LTBT
LTFG,Alanya Gazipasa,Alanya, ,TURKEY,https://acukwik.com/Airport-Info/LTFG
LTAP,Amasya/Merzifon,Amasya, ,TURKEY,https://acukwik.com/Airport-Info/LTAP
LTAE,Ankara/Akinci,Ankara, ,TURKEY,https://acukwik.com/Airport-Info/LTAE
LTAC,Ankara/Esenboga International,Ankara, ,TURKEY,https://acukwik.com/Airport-Info/LTAC
LTAD,Ankara/Etimesgut AB,Ankara, ,TURKEY,https://acukwik.com/Airport-Info/LTAD
LTAB,Ankara/Guvercinlik AB,Ankara, ,TURKEY,https://acukwik.com/Airport-Info/LTAB
LTAI,Antalya International,Antalya, ,TURKEY,https://acukwik.com/Airport-Info/LTAI
LTBD,Aydin/Cildir AB,Aydin, ,TURKEY,https://acukwik.com/Airport-Info/LTBD
LTBF,Balikesir/Merkez,Balikesir, ,TURKEY,https://acukwik.com/Airport-Info/LTBF
LTBG,Balikesir/Bandirma AB,Bandirma, ,TURKEY,https://acukwik.com/Airport-Info/LTBG
LTCJ,Batman AB,Batman, ,TURKEY,https://acukwik.com/Airport-Info/LTCJ
LTCU,Bingol,Bingol, ,TURKEY,https://acukwik.com/Airport-Info/LTCU
LTBV,Bodrum/Imsik,Bodrum, ,TURKEY,https://acukwik.com/Airport-Info/LTBV
LTBR,Bursa/Yenisehir,Bursa, ,TURKEY,https://acukwik.com/Airport-Info/LTBR
LTBE,Bursa/Yunuseli,Bursa, ,TURKEY,https://acukwik.com/Airport-Info/LTBE
LTBH,Canakkale,Canakkale, ,TURKEY,https://acukwik.com/Airport-Info/LTBH
LTAS,Zonguldak/Caycuma,Caycuma, ,TURKEY,https://acukwik.com/Airport-Info/LTAS
