ICAO,Airport Name,City,State,Country,Airport Link
SVAC,Acarigua/Oswaldo Guevara Mujica,Acarigua, ,VENEZUELA,https://acukwik.com/Airport-Info/SVAC
SVAN,Anaco,Anaco, ,VENEZUELA,https://acukwik.com/Airport-Info/SVAN
SVBQ,Bachaquero,Bachaquero, ,VENEZUELA,https://acukwik.com/Airport-Info/SVBQ
SVBC,Barcelona/Gen. Jose Antonio Anzoategui Intl,Barcelona, ,VENEZUELA,https://acukwik.com/Airport-Info/SVBC
SVBI,Barinas/Luisa Cáceres de Arismendi,Barinas, ,VENEZUELA,https://acukwik.com/Airport-Info/SVBI
SVBM,Barquisimeto/Gen Jacinto Lara International,Barquisimeto, ,VENEZUELA,https://acukwik.com/Airport-Info/SVBM
SVBO,Bocono,Bocono, ,VENEZUELA,https://acukwik.com/Airport-Info/SVBO
SVON,Cabimas/Oro Negro,Cabimas, ,VENEZUELA,https://acukwik.com/Airport-Info/SVON
SVCD,Caicara Del Orinoco,Caicara Del Orinoco, ,VENEZUELA,https://acukwik.com/Airport-Info/SVCD
SVCL,Calabozo,Calabozo, ,VENEZUELA,https://acukwik.com/Airport-Info/SVCL
SVCN,Parque Nacional Canaima,Canaima, ,VENEZUELA,https://acukwik.com/Airport-Info/SVCN
SVMI,Caracas (Maiquetia)/Simon Bolivar Intl,Caracas, ,VENEZUELA,https://acukwik.com/Airport-Info/SVMI
SVFM,Caracas/Gen Francisco De Miranda AB,Caracas, ,VENEZUELA,https://acukwik.com/Airport-Info/SVFM
SVMP,Caracas/Metropolitano (Ocumare Del Tuy),Caracas, ,VENEZUELA,https://acukwik.com/Airport-Info/SVMP
SVCS,Caracas/Oscar Machado Zuloaga (Charallave),Caracas, ,VENEZUELA,https://acukwik.com/Airport-Info/SVCS
SVCO,La Greda/Carora,Carora, ,VENEZUELA,https://acukwik.com/Airport-Info/SVCO
SVCZ,Carrizales/Capitan Manuel Rios AB,Carrizal, ,VENEZUELA,https://acukwik.com/Airport-Info/SVCZ
SVCP,Carupano/Gen Jose Francisco Bermudez,Carupano, ,VENEZUELA,https://acukwik.com/Airport-Info/SVCP
SVCG,Casigua/El Cubo,Casigua, ,VENEZUELA,https://acukwik.com/Airport-Info/SVCG
SVHH,Churuguara,Churuguara, ,VENEZUELA,https://acukwik.com/Airport-Info/SVHH
SVCB,Ciudad Bolivar/Thomas de Heres,Ciudad Bolivar, ,VENEZUELA,https://acukwik.com/Airport-Info/SVCB
SVPR,Ciudad Guayana/Gen Manuel Carlos Piar Intl,Ciudad Guayana, ,VENEZUELA,https://acukwik.com/Airport-Info/SVPR
