ICAO,Airport Name,City,State,Country,Airport Link
OYAA,Aden International,Aden, ,YEMEN,https://acukwik.com/Airport-Info/OYAA
OYGD,Al Ghaidah International,Al Ghaidah, ,YEMEN,https://acukwik.com/Airport-Info/OYGD
OYHD,Al Hudaydah/Hodeidah International,Al Hudaydah, ,YEMEN,https://acukwik.com/Airport-Info/OYHD
OYBA,Al-Badie,Al-Badie, ,YEMEN,https://acukwik.com/Airport-Info/OYBA
OYAT,Ataq,Ataq, ,YEMEN,https://acukwik.com/Airport-Info/OYAT
OYBN,Beihan,Beihan, ,YEMEN,https://acukwik.com/Airport-Info/OYBN
OYSQ,Moori/Socotra International,Moori, ,YEMEN,https://acukwik.com/Airport-Info/OYSQ
OYRN,Al-Mukalla/Riyan International,Mukalla, ,YEMEN,https://acukwik.com/Airport-Info/OYRN
OYSN,Sana'a International,Sanaa, ,YEMEN,https://acukwik.com/Airport-Info/OYSN
OYSY,Sayun International,Sayun, ,YEMEN,https://acukwik.com/Airport-Info/OYSY
OYTZ,Taiz International,Taiz, ,YEMEN,https://acukwik.com/Airport-Info/OYTZ
