ICAO,Airport Name,City,State,Country,Airport Link
FVBB,Beit Bridge,Beit Bridge, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVBB
FVJN,Bulawayo/J M Nkomo International,Bulawayo, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVJN
FVCZ,Chiredzi/Buffalo Range,Chiredzi, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVCZ
FVTL,Gweru/Thornhill AB,Gweru, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVTL
FVCP,Harare/Charles Prince,Harare, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVCP
FVRG,Harare/Robert Gabriel Mugabe International,Harare, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVRG
FVWN,Hwange National Park,Hwange, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVWN
FVKB,Kariba Intl,Kariba, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVKB
FVOT,Kotwa AB,Kotwa , ,ZIMBABWE,https://acukwik.com/Airport-Info/FVOT
FVMV,Masvingo International,Masvingo, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVMV
FVMU,Mutare,Mutare, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVMU
FVGR,Mutare/Grand Reef,Mutare, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVGR
FVFA,Victoria Falls International,Victoria Falls, ,ZIMBABWE,https://acukwik.com/Airport-Info/FVFA
