ICAO,Airport Name,City,State,Country,Airport Link
OPKC,Karachi Jinnah International,Karachi, ,PAKISTAN,https://acukwik.com/Airport-Info/OPKC
OPMR,Karachi/Masroor AB,Karachi, ,PAKISTAN,https://acukwik.com/Airport-Info/OPMR
OPSF,Karachi/Sharea Faisal AB,Karachi, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSF
OPSW,Sawan,Khaipur, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSW
OPRS,Risalpur AB,Risalpur, ,PAKISTAN,https://acukwik.com/Airport-Info/OPRS
OPSR,Sargodha / Mushaf AB,Sargodha, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSR
OPSN,Sehwan Sharif,Sehwan Sharif, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSN
OPST,Sialkot International,Sialkot, ,PAKISTAN,https://acukwik.com/Airport-Info/OPST
OPSD,Skardu International,Skardu, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSD
OPSU,Sui,Sui, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSU
OPSK,Sukkur/Begum Nusrat Bhutto ,Sukkur, ,PAKISTAN,https://acukwik.com/Airport-Info/OPSK
OPIS,Islamabad International,Islamabad, ,PAKISTAN,https://acukwik.com/Airport-Info/OPIS
