icao,airport_name,city,state,country,airport_link,source_url,raw_image,cleaned_image,status,error,crop_bbox
BIAR,Akureyri,Akureyri,,ICELAND,https://acukwik.com/Airport-Info/BIAR,https://acukwik.com/extimages/Listing-Images/BIAR.jpg,runway_diagrams/raw/BIAR.jpg,runway_diagrams/cleaned/BIAR.jpg,ok,,"0,0,575,450"
BIKF,Keflavik International,Keflavik,,ICELAND,https://acukwik.com/Airport-Info/BIKF,https://acukwik.com/extimages/Listing-Images/BIKF.jpg,runway_diagrams/raw/BIKF.jpg,runway_diagrams/cleaned/BIKF.jpg,ok,,"0,0,1000,870"
BIRK,Reykjavik City,Reykjavik,,ICELAND,https://acukwik.com/Airport-Info/BIRK,https://acukwik.com/extimages/Listing-Images/BIRK.jpg,runway_diagrams/raw/BIRK.jpg,runway_diagrams/cleaned/BIRK.jpg,ok,,"0,0,1000,1217"
CYEG,Edmonton International,Edmonton,AB,CANADA,https://acukwik.com/Airport-Info/CYEG,https://acukwik.com/extimages/Listing-Images/CYEG.jpg,runway_diagrams/raw/CYEG.jpg,runway_diagrams/cleaned/CYEG.jpg,ok,,"0,0,414,630"
CYHM,John C Munro Hamilton International,Hamilton,ON,CANADA,https://acukwik.com/Airport-Info/CYHM,https://acukwik.com/extimages/Listing-Images/CYHM.jpg,runway_diagrams/raw/CYHM.jpg,runway_diagrams/cleaned/CYHM.jpg,ok,,"0,0,575,525"
CYHU,Montreal Metropolitan,Montreal,QC,CANADA,https://acukwik.com/Airport-Info/CYHU,https://acukwik.com/extimages/Listing-Images/CYHU.jpg,runway_diagrams/raw/CYHU.jpg,runway_diagrams/cleaned/CYHU.jpg,ok,,"0,0,1000,870"
CYHZ,Halifax Stanfield International,Halifax,NS,CANADA,https://acukwik.com/Airport-Info/CYHZ,https://acukwik.com/extimages/Listing-Images/CYHZ.jpg,runway_diagrams/raw/CYHZ.jpg,runway_diagrams/cleaned/CYHZ.jpg,ok,,"0,0,414,459"
CYKF,Region of Waterloo International,Kitchener,ON,CANADA,https://acukwik.com/Airport-Info/CYKF,https://acukwik.com/extimages/Listing-Images/CYKF.jpg,runway_diagrams/raw/CYKF.jpg,runway_diagrams/cleaned/CYKF.jpg,ok,,"0,0,575,550"
CYLS,Lake Simcoe Regional,Barrie-Orillia,ON,CANADA,https://acukwik.com/Airport-Info/CYLS,https://acukwik.com/extimages/Listing-Images/CYLS.jpg,runway_diagrams/raw/CYLS.jpg,runway_diagrams/cleaned/CYLS.jpg,ok,,"0,0,1000,739"
CYLW,Kelowna International,Kelowna,BC,CANADA,https://acukwik.com/Airport-Info/CYLW,https://acukwik.com/extimages/Listing-Images/CYLW.jpg,runway_diagrams/raw/CYLW.jpg,runway_diagrams/cleaned/CYLW.jpg,ok,,"0,0,575,650"
CYMM,Fort McMurray,Fort McMurray,AB,CANADA,https://acukwik.com/Airport-Info/CYMM,https://acukwik.com/extimages/Listing-Images/CYMM.jpg,runway_diagrams/raw/CYMM.jpg,runway_diagrams/cleaned/CYMM.jpg,ok,,"0,0,414,306"
CYND,Gatineau-Ottawa Executive,Ottawa,QC,CANADA,https://acukwik.com/Airport-Info/CYND,https://acukwik.com/extimages/Listing-Images/CYND.jpg,runway_diagrams/raw/CYND.jpg,runway_diagrams/cleaned/CYND.jpg,ok,,"0,0,575,425"
CYOW,Ottawa MacDonald Cartier Intl,Ottawa,ON,CANADA,https://acukwik.com/Airport-Info/CYOW,https://acukwik.com/extimages/Listing-Images/CYOW.jpg,runway_diagrams/raw/CYOW.jpg,runway_diagrams/cleaned/CYOW.jpg,ok,,"0,0,575,500"
CYPK,Pitt Meadows Regional,Pitt Meadows,BC,CANADA,https://acukwik.com/Airport-Info/CYPK,https://acukwik.com/extimages/Listing-Images/CYPK.jpg,runway_diagrams/raw/CYPK.jpg,runway_diagrams/cleaned/CYPK.jpg,ok,,"0,0,1000,1043"
CYQB,Quebec City Jean Lesage International,Quebec City,QC,CANADA,https://acukwik.com/Airport-Info/CYQB,https://acukwik.com/extimages/Listing-Images/CYQB.jpg,runway_diagrams/raw/CYQB.jpg,runway_diagrams/cleaned/CYQB.jpg,ok,,"0,0,1000,1043"
CYQG,Windsor,Windsor,ON,CANADA,https://acukwik.com/Airport-Info/CYQG,https://acukwik.com/extimages/Listing-Images/CYQG.jpg,runway_diagrams/raw/CYQG.jpg,runway_diagrams/cleaned/CYQG.jpg,ok,,"0,0,575,600"
CYQR,Regina International,Regina,SK,CANADA,https://acukwik.com/Airport-Info/CYQR,https://acukwik.com/extimages/Listing-Images/CYQR.jpg,runway_diagrams/raw/CYQR.jpg,runway_diagrams/cleaned/CYQR.jpg,ok,,"0,0,575,525"
CYQT,Thunder Bay,Thunder Bay,ON,CANADA,https://acukwik.com/Airport-Info/CYQT,https://acukwik.com/extimages/Listing-Images/CYQT.jpg,runway_diagrams/raw/CYQT.jpg,runway_diagrams/cleaned/CYQT.jpg,ok,,"0,0,575,450"
CYQX,Gander International,Gander,NL,CANADA,https://acukwik.com/Airport-Info/CYQX,https://acukwik.com/extimages/Listing-Images/CYQX.jpg,runway_diagrams/raw/CYQX.jpg,runway_diagrams/cleaned/CYQX.jpg,ok,,"0,0,575,600"
CYRL,Red Lake,Red Lake,ON,CANADA,https://acukwik.com/Airport-Info/CYRL,https://acukwik.com/extimages/Listing-Images/CYRL.jpg,runway_diagrams/raw/CYRL.jpg,runway_diagrams/cleaned/CYRL.jpg,ok,,"0,0,575,425"
